WARD,ST,69,79 ,67 ,63 ,67 ,35 ,72 
BROWN,LW,68,77 ,58 ,65 ,72 ,39 ,60 
CLARKE-HARRIS,ST,67,84 ,67 ,35 ,64 ,24 ,71 
YATES,ST,63,76 ,63 ,42 ,59 ,27 ,60 
MORRIS,ST,60,72 ,57 ,44 ,56 ,32 ,69 
FRECKLINGTON,CM,69,68 ,65 ,67 ,66 ,55 ,71 
NEWELL,LM,67,77 ,60 ,66 ,67 ,59 ,56 
TAYLOR,LM,67,91 ,62 ,54 ,70 ,27 ,65 
SMALLWOOD,CDM,67,63 ,51 ,60 ,61 ,67 ,70 
ALLAN,CM,67,68 ,55 ,66 ,73 ,50 ,63 
ADEYEMI,CM,67,73 ,56 ,59 ,64 ,59 ,76 
HALFORD,CDM,66,54 ,58 ,58 ,60 ,67 ,71 
FORSTER-CASKEY,CM,66,76 ,61 ,64 ,66 ,51 ,63 
VAULKS,CDM,65,63 ,57 ,60 ,59 ,65 ,70 
FORDE,RM,64,74 ,59 ,62 ,64 ,29 ,59 
BRAY,RM,60,75 ,55 ,52 ,57 ,26 ,48 
WILSON,CB,69,64 ,22 ,54 ,56 ,68 ,72 
BROADFOOT,CB,67,31 ,28 ,51 ,51 ,66 ,75 
MATTOCK,LB,67,73 ,44 ,60 ,64 ,65 ,66 
WOOD,CB,66,32 ,30 ,42 ,43 ,68 ,71 
BALL,CB,66,64 ,43 ,54 ,58 ,64 ,71 
KELLY,RB,66,53 ,43 ,60 ,59 ,69 ,68 
BELAÏD,CB,64,66 ,39 ,55 ,59 ,63 ,66 
FISHER,RB,64,78 ,26 ,44 ,63 ,64 ,63 
PURRINGTON,LB,60,69 ,41 ,56 ,59 ,56 ,64 
AJAYI,CB,57,66 ,23 ,28 ,41 ,56 ,71 
WARREN,LB,56,65 ,38 ,40 ,59 ,55 ,50 
FRY,CB,56,64 ,29 ,30 ,32 ,58 ,59 
CAMP,GK,70,68 ,72 ,71 ,67 ,35 ,69 
O'DONNELL,GK,68,68 ,64 ,67 ,70 ,57 ,64 
PRICE,GK,65,65 ,65 ,59 ,63 ,35 ,63 
BILBOE,GK,53,55 ,54 ,56 ,51 ,34 ,50 
