LE FONDRE,ST,71,75 ,71 ,61 ,66 ,27 ,61 
MADINE,ST,66,65 ,65 ,47 ,59 ,32 ,76 
LONG,ST,65,79 ,62 ,50 ,62 ,26 ,58 
WILKINSON,ST,64,63 ,62 ,46 ,63 ,32 ,67 
CLAYTON,ST,64,81 ,59 ,56 ,67 ,24 ,55 
PROCTOR,ST,64,74 ,62 ,57 ,60 ,30 ,67 
HENRY,RM,72,75 ,71 ,70 ,73 ,42 ,66 
MORAIS,RWB,72,80 ,55 ,74 ,73 ,40 ,70 
AMEOBI,LM,70,81 ,67 ,63 ,73 ,33 ,64 
SPEARING,CM,69,70 ,62 ,64 ,70 ,71 ,74 
DAVIES,CM,69,71 ,57 ,67 ,74 ,54 ,63 
KARACAN,CDM,69,68 ,59 ,64 ,68 ,68 ,71 
TAYLOR,RM,67,76 ,58 ,62 ,70 ,43 ,64 
TROTTER,CM,67,66 ,63 ,64 ,65 ,60 ,75 
PRATLEY,CM,67,70 ,66 ,62 ,65 ,63 ,78 
CLOUGH,CAM,67,77 ,65 ,56 ,71 ,36 ,49 
VELA,CM,67,67 ,49 ,65 ,69 ,60 ,73 
MORAIS,RM,65,78 ,52 ,60 ,67 ,36 ,64 
SOLOMON-OTABOR,LM,64,87 ,57 ,54 ,68 ,32 ,66 
WHEATER,CB,73,51 ,55 ,55 ,53 ,77 ,83 
BEEVERS,CB,71,54 ,38 ,46 ,45 ,70 ,78 
DERIK,CB,69,70 ,44 ,59 ,62 ,68 ,74 
WHEATER,CB,69,49 ,40 ,48 ,46 ,69 ,80 
TAYLOR,LB,68,68 ,44 ,61 ,67 ,68 ,68 
DERVITE,CB,67,49 ,35 ,51 ,43 ,66 ,73 
MOXEY,LB,67,70 ,54 ,60 ,64 ,64 ,68 
BUXTON,RB,66,64 ,47 ,61 ,63 ,65 ,71 
WILSON,RB,65,77 ,46 ,53 ,63 ,62 ,64 
THORPE,CB,64,58 ,33 ,49 ,50 ,63 ,66 
HOWARD,GK,65,62 ,64 ,63 ,63 ,38 ,66 
ALNWICK,GK,64,62 ,60 ,58 ,71 ,34 ,62 
