CLARKE,ST,66,70 ,65 ,55 ,69 ,33 ,69 
VUČKIĆ,ST,65,67 ,67 ,64 ,66 ,33 ,63 
WYKE,ST,64,69 ,70 ,55 ,76 ,35 ,75 
MCNULTY,ST,64,75 ,65 ,49 ,62 ,31 ,58 
HIWULA,ST,63,81 ,62 ,48 ,64 ,25 ,54 
HANSON,ST,62,32 ,63 ,40 ,52 ,32 ,85 
WYKE,ST,61,64 ,58 ,40 ,67 ,24 ,65 
WEBB-FOSTER,ST,53,78 ,52 ,38 ,47 ,17 ,46 
VINCELOT,CDM,69,64 ,58 ,60 ,67 ,66 ,84 
MORAIS,RM,65,78 ,52 ,60 ,67 ,36 ,64 
MARSHALL,LM,65,90 ,57 ,59 ,68 ,30 ,61 
LAW,CM,64,72 ,55 ,61 ,66 ,47 ,67 
JONES,RM,62,61 ,61 ,44 ,58 ,26 ,52 
CULLEN,CM,61,72 ,47 ,59 ,65 ,54 ,63 
MCMAHON,RM,60,68 ,46 ,59 ,60 ,66 ,70 
DIENG,CDM,58,56 ,40 ,53 ,49 ,56 ,68 
DEVINE,CM,45,70 ,31 ,42 ,48 ,38 ,47 
KILGALLON,CB,69,52 ,29 ,47 ,47 ,71 ,71 
DARBY,RB,67,76 ,36 ,54 ,63 ,66 ,78 
KNIGHT-PERCIVAL,CB,66,67 ,30 ,42 ,46 ,65 ,73 
MEREDITH,LB,66,83 ,31 ,49 ,57 ,62 ,69 
MCARDLE,CB,65,58 ,22 ,44 ,40 ,63 ,74 
CLARKE,CB,65,51 ,25 ,44 ,38 ,65 ,71 
HANSON,RB,55,85 ,30 ,33 ,48 ,52 ,62 
KING,CB,47,69 ,24 ,30 ,32 ,45 ,56 
DOYLE,GK,67,68 ,66 ,58 ,68 ,32 ,65 
SATTELMAIER,GK,64,66 ,59 ,63 ,65 ,38 ,64 
