MAGENNIS,ST,71,85 ,72 ,62 ,70 ,56 ,85 
WATT,ST,70,81 ,70 ,46 ,71 ,24 ,71 
NOVAK,ST,69,71 ,70 ,60 ,65 ,42 ,77 
AJOSE,ST,67,80 ,69 ,51 ,65 ,28 ,58 
MAGENNIS,ST,65,83 ,60 ,57 ,61 ,51 ,82 
LOOKMAN,ST,61,84 ,59 ,40 ,65 ,17 ,55 
AHEARNE-GRANT,ST,57,82 ,51 ,44 ,55 ,26 ,55 
HANLAN,ST,48,64 ,41 ,45 ,57 ,30 ,48 
KASHI,CDM,71,60 ,37 ,60 ,57 ,68 ,77 
CROFTS,CM,70,55 ,68 ,68 ,66 ,66 ,72 
ULVESTAD,CM,69,70 ,66 ,68 ,71 ,53 ,69 
JACKSON,CM,69,50 ,68 ,71 ,62 ,59 ,57 
FORSTER-CASKEY,CM,66,76 ,61 ,64 ,66 ,51 ,63 
BYRNE,RM,66,84 ,51 ,59 ,66 ,60 ,63 
HOLMES,LM,66,78 ,59 ,60 ,68 ,26 ,64 
BOTAKA,RM,66,84 ,57 ,57 ,74 ,25 ,64 
BA,CDM,58,71 ,51 ,57 ,62 ,47 ,70 
CHARLES-COOK,LM,56,71 ,49 ,49 ,61 ,29 ,43 
MULDOON,CM,54,67 ,52 ,54 ,55 ,42 ,57 
TEIXEIRA,CB,73,61 ,39 ,64 ,48 ,73 ,77 
DIARRA,CB,73,48 ,59 ,64 ,62 ,71 ,68 
PEARCE,CB,70,49 ,23 ,43 ,46 ,70 ,78 
JOHNSON,CB,70,53 ,34 ,48 ,48 ,69 ,72 
BAUER,CB,70,36 ,45 ,52 ,44 ,70 ,74 
SOLLY,RB,69,72 ,36 ,57 ,67 ,69 ,72 
FOLEY,RB,67,60 ,43 ,62 ,60 ,66 ,69 
CHICKSEN,LB,66,77 ,52 ,58 ,62 ,61 ,63 
FOX,LB,64,61 ,41 ,54 ,56 ,63 ,71 
LENNON,CB,62,70 ,24 ,34 ,39 ,64 ,64 
PAGE,LB,60,65 ,36 ,41 ,58 ,62 ,58 
KONSA,CB,56,72 ,38 ,46 ,50 ,53 ,64 
RUDD,GK,71,75 ,68 ,65 ,74 ,54 ,66 
PHILLIPS,GK,54,58 ,51 ,50 ,54 ,48 ,49 
