WILKINSON,ST,64,63 ,62 ,46 ,63 ,32 ,67 
DENNIS,ST,63,65 ,66 ,46 ,60 ,35 ,64 
EBANKS-BLAKE,ST,61,49 ,63 ,41 ,59 ,28 ,63 
SIMONS,ST,59,78 ,58 ,47 ,58 ,29 ,68 
BEESLEY,ST,56,63 ,55 ,43 ,54 ,41 ,62 
O'SHEA,CAM,68,67 ,67 ,63 ,72 ,31 ,63 
ARIYIBI,RM,67,92 ,51 ,54 ,72 ,32 ,58 
LIDDLE,CDM,65,51 ,45 ,56 ,55 ,63 ,71 
NOLAN,CM,65,71 ,52 ,60 ,69 ,54 ,61 
MARTÍNEZ,CDM,65,63 ,51 ,62 ,66 ,62 ,61 
MITCHELL,LM,64,86 ,55 ,54 ,68 ,31 ,62 
BROWN,CM,63,80 ,60 ,61 ,69 ,36 ,61 
HUMPHREYS,CDM,63,40 ,60 ,64 ,60 ,56 ,66 
GARDNER,LM,62,77 ,63 ,56 ,64 ,31 ,56 
DIMAIO,CM,62,71 ,61 ,58 ,66 ,60 ,68 
GRIMSHAW,CM,58,70 ,42 ,53 ,55 ,62 ,76 
HIRD,CB,67,56 ,36 ,44 ,52 ,66 ,67 
EVATT,CB,66,34 ,34 ,41 ,42 ,64 ,78 
JONES,LB,66,84 ,46 ,58 ,61 ,57 ,71 
MCGINN,RB,65,79 ,48 ,56 ,64 ,60 ,65 
O'NEIL,RB,63,67 ,38 ,55 ,60 ,59 ,64 
DONOHUE,LB,62,67 ,51 ,60 ,59 ,56 ,65 
ANDERSON,CB,61,48 ,28 ,36 ,36 ,58 ,73 
GRAHAM,RB,58,70 ,43 ,52 ,60 ,54 ,66 
DALY,LB,56,75 ,43 ,50 ,57 ,50 ,61 
MAGUIRE,CB,56,56 ,36 ,40 ,50 ,55 ,58 
KAKAY,RB,54,72 ,26 ,34 ,51 ,53 ,55 
LEE,GK,67,62 ,62 ,56 ,73 ,37 ,66 
FULTON,GK,62,60 ,59 ,67 ,65 ,32 ,62 
ALLINSON,GK,60,57 ,60 ,54 ,64 ,33 ,56 
