LONG,ST,65,79 ,62 ,50 ,62 ,26 ,58 
GRANT,RW,64,76 ,61 ,62 ,64 ,34 ,63 
COLE,ST,63,92 ,62 ,43 ,62 ,22 ,57 
BALL,ST,62,70 ,61 ,44 ,65 ,26 ,50 
JAKUBIAK,ST,58,75 ,56 ,45 ,62 ,23 ,52 
AMADI-HOLLOWAY,ST,57,71 ,53 ,45 ,58 ,51 ,68 
HUNTER,ST,54,67 ,53 ,42 ,51 ,19 ,50 
BRANNAGAN,CM,70,68 ,63 ,73 ,64 ,62 ,68 
WOOLFORD,LM,69,70 ,66 ,66 ,69 ,35 ,71 
RYAN,CDM,67,67 ,60 ,65 ,69 ,60 ,72 
JÓNSSON,CDM,66,51 ,56 ,60 ,58 ,66 ,74 
BURNS,RM,65,90 ,59 ,55 ,63 ,29 ,59 
DEMPSEY,CM,62,73 ,59 ,61 ,66 ,37 ,64 
GLENDON,CM,58,63 ,45 ,56 ,56 ,48 ,56 
HAUGHTON,CAM,57,65 ,48 ,52 ,58 ,35 ,59 
SOWERBY,CM,52,54 ,51 ,48 ,59 ,20 ,49 
CHARLES,LM,52,68 ,52 ,49 ,50 ,26 ,48 
DEACON,RM,51,77 ,41 ,43 ,50 ,24 ,45 
MCLAUGHLIN,RB,67,69 ,42 ,56 ,62 ,64 ,67 
EASTHAM,CB,64,57 ,22 ,42 ,44 ,62 ,75 
BOLGER,CB,64,57 ,36 ,36 ,32 ,62 ,73 
POND,CB,63,40 ,37 ,45 ,42 ,62 ,74 
DAVIES,LB,63,70 ,39 ,52 ,53 ,63 ,66 
BELL,LB,62,82 ,42 ,52 ,63 ,57 ,64 
DUCKWORTH,RB,60,68 ,41 ,49 ,63 ,57 ,69 
DAVIS,CB,59,57 ,23 ,33 ,40 ,58 ,65 
WALLACE,LB,57,65 ,50 ,54 ,61 ,51 ,62 
NIRENNOLD,CB,56,62 ,32 ,37 ,37 ,53 ,67 
NEAL,GK,64,61 ,64 ,60 ,64 ,55 ,63 
CAIRNS,GK,61,59 ,60 ,57 ,60 ,49 ,58 
URWIN,GK,53,55 ,45 ,51 ,58 ,48 ,53 
