MCKAY,ST,68,73 ,66 ,55 ,68 ,34 ,68 
ERWIN,ST,64,68 ,63 ,50 ,62 ,23 ,60 
LADAPO,ST,62,71 ,62 ,41 ,60 ,19 ,71 
AMADI-HOLLOWAY,ST,57,71 ,53 ,45 ,58 ,51 ,68 
TAYLOR,RM,67,76 ,58 ,62 ,70 ,43 ,64 
WINCHESTER,RM,66,73 ,59 ,60 ,68 ,56 ,67 
BANKS,CM,65,66 ,64 ,63 ,67 ,48 ,68 
FLYNN,RM,64,72 ,53 ,62 ,67 ,33 ,58 
GREEN,CM,64,65 ,58 ,62 ,63 ,62 ,68 
CROFT,RM,63,59 ,48 ,62 ,66 ,54 ,64 
JAHRALDO-MARTIN,LM,58,67 ,56 ,50 ,62 ,27 ,53 
O'NEILL,CM,57,65 ,45 ,53 ,54 ,49 ,56 
FANE,CDM,57,75 ,41 ,51 ,53 ,52 ,72 
CLARKE,CB,66,38 ,34 ,45 ,40 ,67 ,76 
WILSON,RB,66,72 ,48 ,65 ,64 ,62 ,71 
RECKORD,LB,63,71 ,41 ,53 ,58 ,59 ,69 
DUMMIGAN,RB,62,70 ,31 ,50 ,59 ,62 ,59 
MCLAUGHLIN,RB,62,77 ,41 ,57 ,61 ,57 ,59 
BURGESS,CB,62,48 ,28 ,43 ,37 ,62 ,68 
LAW,RB,62,71 ,40 ,55 ,60 ,58 ,56 
DUNNE,LB,60,81 ,38 ,48 ,56 ,55 ,67 
HUNT,RB,57,67 ,29 ,40 ,55 ,56 ,57 
RIPLEY,GK,74,81 ,75 ,82 ,80 ,47 ,82 
RIPLEY,GK,64,72 ,67 ,74 ,71 ,35 ,70 
RIPLEY,GK,63,66 ,60 ,69 ,63 ,28 ,62 
KETTINGS,GK,60,62 ,60 ,55 ,60 ,35 ,58 
