CICILIA,ST,64,71 ,61 ,46 ,58 ,24 ,70 
JONES,ST,62,61 ,61 ,44 ,58 ,26 ,52 
WALKER,ST,62,83 ,62 ,42 ,64 ,22 ,39 
FORRESTER,ST,60,67 ,60 ,39 ,53 ,25 ,60 
HOOPER,ST,59,80 ,54 ,37 ,55 ,28 ,65 
TAVARES,CM,71,68 ,66 ,69 ,70 ,63 ,71 
EAGLES,RM,69,70 ,67 ,68 ,71 ,30 ,59 
THOMAS,LM,68,72 ,61 ,65 ,68 ,39 ,54 
PEREIRA,CAM,67,64 ,59 ,66 ,68 ,43 ,44 
GRANT,CM,65,71 ,52 ,60 ,64 ,61 ,76 
FOLEY,CM,64,73 ,57 ,63 ,63 ,56 ,67 
SHODIPO,LM,63,82 ,50 ,58 ,65 ,26 ,49 
BROWN,CM,63,31 ,60 ,59 ,57 ,62 ,76 
MBAMBA,RM,62,78 ,49 ,57 ,65 ,34 ,56 
DE FREITAS,RM,62,74 ,48 ,57 ,63 ,50 ,58 
PUGH,CM,60,52 ,55 ,60 ,55 ,62 ,64 
AMOROS,CM,60,67 ,48 ,61 ,62 ,43 ,57 
KELLY,LM,59,75 ,51 ,56 ,60 ,35 ,51 
PROHOULY,CAM,58,79 ,49 ,52 ,63 ,32 ,58 
HAUGHTON,RM,51,77 ,40 ,42 ,55 ,23 ,44 
FERGUSON,CM,51,64 ,37 ,47 ,50 ,39 ,62 
REEVES,CM,50,62 ,42 ,52 ,51 ,32 ,51 
MAC-INTOSCH,CB,67,76 ,39 ,50 ,57 ,68 ,68 
KIKO,LB,66,67 ,57 ,61 ,66 ,63 ,69 
STREETE,CB,65,69 ,30 ,41 ,53 ,62 ,72 
PURKISS,RB,64,60 ,28 ,57 ,53 ,62 ,72 
KNOPS,CB,62,69 ,47 ,57 ,62 ,58 ,71 
TANSER,LB,60,75 ,47 ,54 ,56 ,55 ,58 
YATES,RB,60,68 ,32 ,53 ,56 ,58 ,60 
SMITH,CB,55,62 ,25 ,28 ,30 ,55 ,63 
GIBBONS,RB,48,62 ,27 ,31 ,43 ,46 ,56 
ALNWICK,GK,66,67 ,64 ,61 ,66 ,44 ,64 
BOOT,GK,55,55 ,53 ,51 ,54 ,59 ,53 
FASAN,GK,50,49 ,45 ,55 ,53 ,41 ,49 
