SHARP,ST,74,72 ,82 ,70 ,74 ,50 ,84 
SHARP,ST,69,68 ,69 ,56 ,67 ,34 ,73 
CLARKE,ST,68,65 ,67 ,52 ,61 ,31 ,82 
LAVERY,ST,67,77 ,67 ,56 ,70 ,32 ,64 
MCNULTY,ST,64,75 ,65 ,49 ,62 ,31 ,58 
HANSON,ST,62,32 ,63 ,40 ,52 ,32 ,85 
DONE,LM,69,81 ,66 ,61 ,69 ,41 ,68 
FLECK,CM,69,64 ,66 ,70 ,69 ,60 ,72 
O'SHEA,CAM,68,67 ,67 ,63 ,72 ,31 ,63 
DUFFY,RM,67,78 ,60 ,63 ,65 ,27 ,69 
COUTTS,CM,67,72 ,62 ,67 ,69 ,43 ,72 
SCOUGALL,CM,66,75 ,59 ,64 ,71 ,44 ,61 
WALLACE,CM,66,65 ,60 ,63 ,65 ,55 ,72 
CARRUTHERS,CM,63,69 ,57 ,62 ,69 ,46 ,64 
REED,CM,61,68 ,48 ,58 ,65 ,51 ,61 
CHAPMAN,LM,57,68 ,43 ,58 ,56 ,37 ,47 
BROOKS,CAM,57,66 ,51 ,52 ,63 ,31 ,55 
WHITEMAN,CDM,56,62 ,40 ,48 ,53 ,51 ,65 
BASHAM,CB,70,68 ,51 ,60 ,59 ,68 ,75 
WILSON,CB,67,68 ,30 ,50 ,57 ,66 ,71 
EBANKS-LANDELL,CB,67,67 ,48 ,51 ,55 ,66 ,73 
LAFFERTY,LB,66,76 ,47 ,59 ,65 ,64 ,64 
HUSSEY,LB,65,70 ,39 ,62 ,64 ,58 ,65 
FREEMAN,RB,64,67 ,42 ,59 ,63 ,62 ,66 
O'CONNELL,CB,64,58 ,28 ,35 ,44 ,64 ,71 
WRIGHT,CB,64,67 ,31 ,45 ,51 ,65 ,67 
FREEMAN,RWB,64,70 ,60 ,65 ,68 ,70 ,70 
LONG,GK,65,67 ,63 ,49 ,69 ,48 ,63 
MOORE,GK,63,65 ,61 ,58 ,64 ,50 ,59 
EASTWOOD,GK,55,53 ,56 ,45 ,57 ,39 ,53 
