RANGER,ST,66,71 ,67 ,43 ,65 ,23 ,70 
COX,ST,66,59 ,68 ,57 ,67 ,35 ,62 
MOONEY,ST,65,65 ,63 ,58 ,63 ,32 ,59 
WILLIAMS,ST,55,77 ,54 ,36 ,46 ,18 ,71 
LEONARD,CDM,65,87 ,63 ,64 ,64 ,60 ,76 
WORDSWORTH,CM,64,60 ,62 ,68 ,61 ,41 ,57 
MCLAUGHLIN,LM,64,78 ,57 ,58 ,65 ,21 ,59 
TIMLIN,CM,63,59 ,54 ,61 ,62 ,50 ,75 
ATKINSON,RM,62,71 ,54 ,55 ,62 ,54 ,73 
MCGLASHAN,RM,61,92 ,50 ,52 ,64 ,34 ,47 
KING,CM,59,69 ,54 ,56 ,61 ,44 ,61 
BRIDGE,CAM,59,73 ,50 ,56 ,62 ,41 ,53 
AMOS,CDM,58,62 ,39 ,54 ,55 ,57 ,61 
COKER,LB,67,79 ,47 ,65 ,68 ,61 ,66 
DEMETRIOU,RB,66,74 ,52 ,63 ,64 ,61 ,71 
BARRETT,CB,66,33 ,28 ,40 ,41 ,64 ,78 
O'NEILL,RB,64,74 ,47 ,58 ,62 ,64 ,68 
THOMPSON,CB,64,64 ,31 ,53 ,49 ,64 ,69 
INNISS,CB,64,52 ,33 ,42 ,38 ,61 ,77 
SOKOLIK,CB,63,68 ,26 ,41 ,40 ,61 ,69 
WHITE,RB,62,65 ,35 ,54 ,53 ,61 ,72 
WALTON,GK,65,68 ,62 ,65 ,69 ,51 ,59 
OXLEY,GK,62,64 ,62 ,59 ,65 ,31 ,59 
SMITH,GK,59,59 ,56 ,60 ,65 ,45 ,56 
