JACKSON,ST,65,83 ,62 ,48 ,66 ,29 ,63 
BAKAYOKO,ST,58,73 ,54 ,43 ,53 ,26 ,71 
KOUHYAR,ST,53,69 ,51 ,44 ,58 ,18 ,48 
CUVELIER,CM,66,72 ,61 ,65 ,69 ,49 ,66 
MOUSSA,LM,66,77 ,65 ,61 ,69 ,38 ,64 
OZTUMER,CAM,66,72 ,58 ,62 ,71 ,19 ,46 
CHAMBERS,CM,66,67 ,49 ,61 ,62 ,67 ,82 
OSBOURNE,CDM,65,69 ,52 ,59 ,58 ,64 ,72 
MORRIS,RM,63,82 ,57 ,56 ,66 ,24 ,62 
FLANAGAN,CM,61,71 ,54 ,57 ,63 ,50 ,48 
GINNELLY,LM,61,87 ,55 ,54 ,62 ,26 ,50 
DOBSON,CDM,57,57 ,28 ,51 ,54 ,53 ,59 
SANGHA,CM,52,70 ,45 ,52 ,51 ,34 ,52 
OLIVER,CM,50,65 ,40 ,52 ,52 ,36 ,47 
BUTTERFIELD,CM,50,60 ,34 ,46 ,50 ,49 ,63 
O'CONNOR,CB,67,56 ,40 ,58 ,56 ,65 ,75 
EDWARDS,RM,64,76 ,60 ,68 ,67 ,65 ,80 
EDWARDS,RB,64,75 ,52 ,61 ,61 ,60 ,75 
LAIRD,LB,64,69 ,53 ,60 ,58 ,62 ,70 
PRESTON,CB,61,67 ,32 ,47 ,44 ,55 ,77 
MCCARTHY,CB,61,57 ,30 ,34 ,41 ,62 ,65 
KINSELLA,RB,59,76 ,45 ,53 ,58 ,56 ,59 
O'CONNELL,CB,57,57 ,27 ,31 ,47 ,57 ,64 
ROBERTS,CB,52,65 ,24 ,31 ,38 ,53 ,57 
VASSELL,CB,50,61 ,25 ,27 ,32 ,48 ,61 
ETHERIDGE,GK,65,70 ,59 ,58 ,70 ,51 ,61 
MACGILLIVRAY,GK,60,61 ,55 ,57 ,63 ,61 ,56 
