AKPA AKPRO,ST,64,82 ,58 ,55 ,66 ,30 ,66 
AKINDE,ST,63,81 ,59 ,44 ,53 ,32 ,82 
NICHOLLS,ST,62,79 ,56 ,48 ,63 ,27 ,56 
GASH,ST,57,55 ,55 ,41 ,52 ,33 ,63 
TOMLINSON,ST,57,73 ,52 ,39 ,57 ,18 ,70 
BATT,ST,54,78 ,42 ,48 ,40 ,35 ,70 
CAMPBELL-RYCE,RM,66,81 ,55 ,59 ,70 ,22 ,61 
TOGWELL,CDM,62,67 ,49 ,55 ,51 ,60 ,73 
GAMBIN,LM,61,82 ,51 ,52 ,66 ,26 ,37 
VILHETE,RM,59,84 ,54 ,48 ,59 ,45 ,56 
WATSON,CM,59,56 ,53 ,58 ,67 ,38 ,60 
WESTON,CM,58,73 ,57 ,57 ,59 ,41 ,63 
SHOMOTUN,CAM,55,79 ,40 ,47 ,62 ,26 ,39 
TAYLOR,CDM,52,64 ,29 ,47 ,49 ,48 ,59 
COJOCĂREL,CAM,51,74 ,48 ,42 ,57 ,17 ,43 
AMALUZOR,RM,50,80 ,36 ,37 ,52 ,20 ,63 
FONGUCK,CM,48,66 ,36 ,45 ,48 ,40 ,66 
SANTOS,CB,64,73 ,40 ,37 ,45 ,70 ,78 
DEMBÉLÉ,CB,63,66 ,31 ,46 ,43 ,62 ,69 
PEARSON,RB,62,63 ,31 ,47 ,50 ,62 ,65 
SANTOS,CB,62,71 ,25 ,32 ,37 ,61 ,74 
JOHNSON,LB,61,71 ,42 ,51 ,57 ,58 ,60 
NELSON,CB,61,43 ,24 ,36 ,40 ,58 ,78 
HOYTE,RB,60,80 ,29 ,44 ,57 ,56 ,66 
N'GALA,CB,59,46 ,35 ,39 ,38 ,55 ,84 
TUTONDA,LWB,59,80 ,43 ,48 ,63 ,52 ,62 
SESAY,CB,57,64 ,27 ,41 ,42 ,58 ,56 
MUGGLETON,LB,48,68 ,30 ,41 ,41 ,44 ,56 
STEPHENS,GK,61,62 ,61 ,53 ,63 ,38 ,59 
VICKERS,GK,59,69 ,53 ,53 ,61 ,40 ,50 
