CORR,ST,65,57 ,63 ,47 ,53 ,33 ,76 
IKPEAZU,ST,63,72 ,57 ,47 ,60 ,28 ,74 
PIGOTT,ST,62,55 ,62 ,38 ,60 ,22 ,60 
MCGURK,ST,61,68 ,62 ,56 ,57 ,23 ,66 
WILLIAMSON,ST,60,85 ,55 ,45 ,62 ,30 ,68 
MARIS,ST,54,59 ,57 ,37 ,53 ,19 ,56 
BERRY,CM,65,74 ,55 ,62 ,66 ,52 ,76 
NEWTON,RM,64,74 ,55 ,62 ,65 ,58 ,65 
DUNK,LM,64,86 ,46 ,56 ,69 ,47 ,58 
DUNNE,CM,63,55 ,55 ,59 ,60 ,58 ,78 
MINGOIA,RM,63,77 ,56 ,60 ,66 ,38 ,59 
ELITO,LM,62,84 ,54 ,54 ,68 ,24 ,48 
GOSLING,LM,61,79 ,52 ,54 ,61 ,33 ,50 
LEGGE,CB,65,56 ,25 ,41 ,38 ,62 ,83 
ADAMS,LB,64,76 ,39 ,54 ,64 ,62 ,70 
CARROLL,LB,64,73 ,45 ,59 ,59 ,60 ,65 
ROBERTS,CB,64,54 ,30 ,42 ,41 ,62 ,77 
TAYLOR,LB,63,76 ,41 ,53 ,54 ,60 ,69 
OMOZUSI,RB,63,73 ,25 ,50 ,54 ,60 ,77 
O'NEIL,RB,63,67 ,38 ,55 ,60 ,59 ,64 
COULSON,CB,60,61 ,27 ,40 ,34 ,58 ,74 
DALLISON,CB,59,59 ,24 ,40 ,42 ,58 ,66 
WHARTON,CB,58,67 ,28 ,38 ,38 ,57 ,58 
CLARK,LB,57,77 ,35 ,42 ,57 ,54 ,61 
LONG,RB,55,66 ,30 ,36 ,44 ,58 ,58 
NORRIS,GK,64,70 ,62 ,55 ,70 ,43 ,60 
NORRIS,GK,59,64 ,56 ,52 ,62 ,40 ,55 
