HOLMAN,ST,62,73 ,62 ,47 ,58 ,25 ,66 
GIROLAMO,ST,60,76 ,59 ,46 ,66 ,26 ,61 
WRIGHT,ST,59,53 ,57 ,39 ,51 ,30 ,77 
WATERS,ST,58,82 ,52 ,54 ,61 ,40 ,54 
SMITH,LW,57,79 ,54 ,47 ,59 ,25 ,48 
WOOTTON,ST,57,64 ,54 ,37 ,51 ,24 ,61 
MORGAN-SMITH,ST,56,68 ,57 ,37 ,55 ,31 ,54 
WINCHESTER,CAM,66,73 ,59 ,60 ,68 ,56 ,67 
ARTHUR,RM,65,81 ,58 ,57 ,69 ,28 ,56 
DAYTON,RM,62,79 ,56 ,57 ,67 ,25 ,49 
MUNNS,LM,61,67 ,51 ,61 ,62 ,46 ,56 
WHITEHEAD,CAM,60,65 ,56 ,51 ,64 ,26 ,48 
PELL,CM,60,65 ,54 ,55 ,57 ,54 ,75 
HALL,CM,59,63 ,54 ,56 ,59 ,51 ,61 
STORER,CM,57,62 ,46 ,56 ,54 ,54 ,71 
ROWE,CM,56,71 ,50 ,53 ,58 ,45 ,55 
PAGE,RM,51,70 ,41 ,47 ,52 ,24 ,42 
PARSLOW,CB,61,56 ,37 ,46 ,41 ,61 ,68 
DOWNES,CB,60,44 ,32 ,42 ,39 ,58 ,70 
BARTHRAM,RB,59,77 ,35 ,49 ,56 ,53 ,61 
DICKIE,CB,58,53 ,20 ,30 ,41 ,59 ,60 
O'SHAUGHNESSY,CB,58,47 ,31 ,39 ,31 ,56 ,64 
CRANSTON,LB,57,72 ,38 ,49 ,54 ,53 ,58 
BOYLE,CB,57,58 ,27 ,31 ,33 ,58 ,63 
SULIMAN,CB,56,58 ,31 ,37 ,39 ,56 ,59 
LYMN,RB,49,70 ,31 ,47 ,47 ,41 ,48 
BOWER,CB,48,53 ,23 ,25 ,32 ,46 ,56 
BROWN,GK,66,65 ,63 ,52 ,70 ,52 ,64 
GRIFFITHS,GK,58,59 ,56 ,64 ,60 ,47 ,54 
KITSCHA,GK,48,52 ,44 ,43 ,50 ,39 ,44 
LOVETT,GK,45,47 ,44 ,39 ,48 ,36 ,41 
