GUTHRIE,ST,64,70 ,70 ,56 ,61 ,27 ,50 
PORTER,ST,61,53 ,61 ,51 ,56 ,34 ,69 
JOHNSTONE,ST,60,56 ,61 ,41 ,59 ,23 ,58 
GUTHRIE,ST,57,68 ,56 ,50 ,56 ,21 ,43 
PYKE,ST,55,79 ,52 ,37 ,53 ,21 ,54 
MURRAY,CM,69,68 ,69 ,70 ,71 ,48 ,64 
LOFT,CM,66,71 ,62 ,64 ,65 ,51 ,81 
SLATER,CDM,64,73 ,46 ,63 ,68 ,56 ,65 
GARVAN,CDM,63,52 ,57 ,68 ,65 ,57 ,60 
LAPSLIE,CDM,62,67 ,50 ,52 ,60 ,60 ,66 
FOSU,LM,62,82 ,56 ,53 ,65 ,31 ,48 
SZMODICS,CAM,60,79 ,58 ,55 ,62 ,41 ,65 
WRIGHT,RM,60,78 ,57 ,54 ,62 ,30 ,59 
O'SULLIVAN,CM,57,70 ,46 ,53 ,60 ,44 ,59 
DUNNE,LM,57,74 ,46 ,57 ,61 ,34 ,33 
SEMBIE-FERRIS,RM,57,90 ,49 ,48 ,58 ,26 ,50 
DICKENSON,LWB,64,88 ,65 ,62 ,70 ,65 ,76 
EASTMAN,CB,63,44 ,32 ,45 ,49 ,60 ,73 
ELOKOBI,CB,63,49 ,42 ,52 ,43 ,60 ,80 
DICKENSON,LB,62,86 ,56 ,56 ,61 ,57 ,71 
WYNTER,CB,61,69 ,46 ,49 ,49 ,59 ,68 
BRIGGS,LB,61,76 ,45 ,60 ,65 ,54 ,68 
BRINDLEY,RB,61,76 ,43 ,48 ,55 ,57 ,63 
PROSSER,CB,61,63 ,28 ,44 ,43 ,61 ,58 
KENT,CB,60,60 ,29 ,40 ,52 ,60 ,60 
VINCENT-YOUNG,RB,60,85 ,28 ,49 ,56 ,56 ,63 
KINSELLA,LB,56,59 ,35 ,46 ,52 ,57 ,56 
WALKER,GK,64,67 ,63 ,57 ,65 ,40 ,64 
BRILL,GK,63,62 ,64 ,60 ,61 ,31 ,62 
BARNES,GK,56,59 ,51 ,50 ,63 ,45 ,53 
BRANSGROVE,GK,55,59 ,50 ,45 ,57 ,41 ,53 
