MCALINDEN,ST,63,79 ,61 ,45 ,62 ,21 ,61 
SIMPSON,ST,61,68 ,60 ,56 ,56 ,43 ,68 
JAY,ST,50,74 ,45 ,34 ,53 ,22 ,43 
WATKINS,CM,74,87 ,80 ,77 ,82 ,50 ,72 
GRANT,RM,66,87 ,57 ,60 ,69 ,32 ,56 
HOLMES,LM,66,77 ,56 ,63 ,68 ,33 ,56 
JAMES,CM,66,56 ,60 ,68 ,63 ,58 ,57 
TAYLOR,LM,66,72 ,54 ,62 ,67 ,50 ,60 
WATKINS,CM,64,83 ,70 ,65 ,72 ,40 ,60 
HARLEY,CM,63,53 ,62 ,63 ,66 ,50 ,60 
OAKLEY,CDM,61,40 ,46 ,59 ,60 ,56 ,59 
STACEY,RM,60,70 ,52 ,52 ,63 ,45 ,48 
WHEELER,RM,60,81 ,51 ,48 ,61 ,27 ,69 
WATKINS,CM,60,81 ,59 ,57 ,66 ,37 ,52 
CHARLES,RM,53,87 ,44 ,46 ,52 ,26 ,52 
BYRNE,CM,52,65 ,47 ,54 ,53 ,36 ,49 
MCCREADY,CM,51,64 ,42 ,50 ,54 ,44 ,53 
ARCHIBALD-HENVILLE,CB,65,66 ,33 ,42 ,46 ,63 ,75 
WOODMAN,LB,64,66 ,45 ,58 ,60 ,62 ,65 
BROWN,CB,62,65 ,30 ,44 ,42 ,58 ,77 
BUTTERFIELD,CB,61,40 ,38 ,60 ,56 ,63 ,60 
MOORE-TAYLOR,CB,61,61 ,32 ,50 ,48 ,57 ,76 
TILLSON,CB,55,60 ,23 ,30 ,41 ,56 ,58 
SWEENEY,CB,55,57 ,31 ,38 ,42 ,53 ,60 
RILEY-LOWE,LB,50,62 ,28 ,34 ,45 ,50 ,51 
STOREY,CB,49,63 ,26 ,26 ,29 ,50 ,56 
OLEJNIK,GK,65,67 ,60 ,47 ,67 ,40 ,64 
PYM,GK,59,59 ,59 ,57 ,63 ,44 ,55 
HAMON,GK,54,54 ,50 ,51 ,58 ,42 ,52 
