ALESSANDRA,CM,64,81 ,70 ,65 ,72 ,30 ,73 
ALESSANDRA,ST,63,79 ,58 ,56 ,69 ,24 ,69 
PAYNTER,ST,62,46 ,59 ,54 ,61 ,35 ,68 
FEWSTER,ST,60,80 ,59 ,42 ,54 ,23 ,56 
HEARDMAN,ST,59,49 ,59 ,46 ,55 ,31 ,64 
AMOND,ST,58,58 ,58 ,44 ,56 ,25 ,56 
ORRELL,ST,57,79 ,56 ,41 ,65 ,26 ,58 
ROONEY,ST,56,71 ,52 ,43 ,56 ,22 ,58 
WOODS,CM,63,70 ,56 ,60 ,60 ,51 ,67 
KAVANAGH,LM,62,75 ,42 ,57 ,63 ,59 ,56 
THOMAS,LM,62,84 ,57 ,54 ,65 ,34 ,58 
FEATHERSTONE,CM,61,75 ,60 ,62 ,65 ,42 ,60 
DEVERDICS,CM,60,56 ,43 ,59 ,52 ,38 ,63 
WALKER,CM,60,70 ,59 ,56 ,62 ,54 ,67 
HAWKINS,CM,55,69 ,37 ,50 ,58 ,47 ,74 
LAURENT,CM,52,75 ,50 ,54 ,56 ,34 ,56 
BLACKFORD,RM,50,66 ,44 ,47 ,48 ,19 ,51 
JONES,CB,66,32 ,24 ,44 ,31 ,66 ,78 
CARROLL,LB,64,73 ,45 ,59 ,59 ,60 ,65 
HARRISON,CB,62,50 ,31 ,37 ,39 ,62 ,68 
MAGNAY,RB,60,58 ,50 ,53 ,58 ,62 ,47 
NSIALA,CB,60,70 ,32 ,49 ,42 ,57 ,67 
BATES,CB,59,61 ,32 ,43 ,43 ,58 ,66 
DONNELLY,RB,59,64 ,33 ,48 ,55 ,61 ,69 
RICHARDS,RB,54,73 ,25 ,50 ,44 ,49 ,60 
POLLOCK,CB,50,52 ,21 ,33 ,33 ,47 ,62 
CARSON,GK,63,64 ,59 ,66 ,68 ,58 ,61 
BARTLETT,GK,59,57 ,65 ,59 ,61 ,64 ,47 
DUDZINSKI,GK,53,53 ,56 ,54 ,52 ,23 ,50 
