GREEN,ST,66,90 ,64 ,46 ,62 ,24 ,68 
ROSE,ST,64,80 ,63 ,50 ,65 ,23 ,58 
COULTHIRST,ST,63,78 ,58 ,52 ,62 ,23 ,60 
HENDERSON,ST,63,41 ,65 ,58 ,50 ,38 ,75 
HOBAN,ST,62,71 ,62 ,53 ,60 ,37 ,66 
LAW,ST,55,76 ,51 ,38 ,54 ,20 ,56 
BLAKE,ST,53,73 ,49 ,48 ,54 ,34 ,55 
HAKEEM,ST,52,90 ,48 ,42 ,53 ,17 ,54 
CLEMENTS,CM,64,63 ,50 ,66 ,63 ,53 ,64 
HURST,RM,64,68 ,57 ,63 ,64 ,32 ,67 
CHAPMAN,CDM,63,63 ,49 ,64 ,59 ,55 ,75 
MACDONALD,RM,63,71 ,60 ,57 ,62 ,42 ,76 
POTTER,LM,63,82 ,50 ,54 ,66 ,36 ,61 
BAXENDALE,CAM,63,74 ,60 ,59 ,66 ,28 ,54 
BYROM,CM,62,54 ,58 ,64 ,55 ,48 ,67 
HEMMINGS,LM,62,86 ,53 ,52 ,66 ,29 ,61 
THOMAS,CM,62,73 ,50 ,61 ,65 ,50 ,65 
MCGUIRE,CDM,60,53 ,47 ,48 ,55 ,60 ,75 
ROSE,CM,60,76 ,49 ,55 ,60 ,57 ,80 
HAMILTON,LM,59,90 ,48 ,47 ,61 ,25 ,54 
WHITEMAN,CDM,56,62 ,40 ,48 ,53 ,51 ,65 
BENNING,LB,65,74 ,58 ,59 ,63 ,60 ,72 
PEARCE,CB,65,70 ,30 ,40 ,50 ,63 ,75 
BENNETT,RB,64,77 ,39 ,57 ,56 ,62 ,73 
COLLINS,CB,64,69 ,45 ,52 ,57 ,62 ,72 
WHITE,RB,64,84 ,39 ,48 ,63 ,59 ,65 
TAFT,CB,63,64 ,35 ,52 ,47 ,62 ,74 
HOWKINS,CB,61,69 ,28 ,42 ,49 ,59 ,72 
IACOVITTI,CB,56,73 ,33 ,37 ,45 ,54 ,61 
SHIRES,CB,55,59 ,25 ,36 ,42 ,51 ,66 
DANQUAH,LB,53,71 ,31 ,46 ,45 ,45 ,58 
JENSEN,GK,62,63 ,61 ,58 ,62 ,22 ,60 
KEAN,GK,61,61 ,55 ,46 ,60 ,50 ,64 
SHEARER,GK,61,60 ,58 ,61 ,60 ,37 ,62 
