PARKIN,ST,64,29 ,66 ,56 ,55 ,46 ,81 
HEALEY,ST,62,77 ,63 ,42 ,60 ,20 ,52 
JOHN-LEWIS,ST,61,71 ,55 ,46 ,59 ,30 ,70 
GREGO-COX,ST,61,78 ,60 ,48 ,59 ,25 ,48 
JACKSON,ST,58,83 ,52 ,49 ,57 ,26 ,65 
O'HANLON,ST,57,66 ,53 ,39 ,51 ,27 ,62 
BOJAJ,ST,55,56 ,54 ,41 ,56 ,18 ,54 
LABADIE,CM,63,69 ,55 ,62 ,61 ,58 ,82 
RANDALL,CM,62,67 ,51 ,63 ,59 ,44 ,54 
MYRIE-WILLIAMS,RM,62,82 ,53 ,57 ,66 ,33 ,58 
COMPTON,LM,61,77 ,52 ,57 ,61 ,18 ,55 
RIGG,LM,60,70 ,60 ,51 ,62 ,27 ,58 
ROSE,RM,60,76 ,49 ,55 ,60 ,57 ,80 
SHEEHAN,CM,59,56 ,45 ,57 ,56 ,50 ,56 
OWEN-EVANS,CM,51,73 ,44 ,47 ,54 ,41 ,56 
NELSON,CB,64,53 ,26 ,37 ,45 ,63 ,69 
JONES,CB,63,52 ,40 ,43 ,42 ,60 ,79 
BUTLER,LB,61,73 ,31 ,50 ,55 ,59 ,62 
BIGNOT,RB,60,68 ,33 ,48 ,49 ,58 ,63 
CAMERON,CB,59,55 ,33 ,40 ,44 ,59 ,61 
TOZER,RB,58,63 ,49 ,44 ,44 ,57 ,79 
BARNUM-BOBB,RB,58,79 ,36 ,40 ,56 ,54 ,50 
BENNETT,CB,57,46 ,41 ,40 ,44 ,57 ,62 
TURLEY,CB,56,57 ,33 ,42 ,40 ,54 ,67 
PARSELLE,CB,53,71 ,23 ,43 ,49 ,51 ,60 
JONES,CB,48,58 ,22 ,29 ,32 ,48 ,53 
BAMFORD,LB,46,67 ,24 ,31 ,33 ,42 ,45 
ANGEL,CB,46,58 ,21 ,27 ,27 ,46 ,47 
DAY,GK,61,64 ,52 ,53 ,70 ,57 ,60 
BITTNER,GK,54,49 ,54 ,50 ,52 ,34 ,57 
