STEAD,ST,64,51 ,64 ,61 ,60 ,30 ,60 
SNIJDERS,ST,63,89 ,61 ,51 ,68 ,24 ,46 
OLIVER,ST,61,69 ,61 ,43 ,52 ,43 ,77 
COLLINS,ST,55,75 ,50 ,41 ,57 ,19 ,58 
CAMPBELL,LW,54,67 ,54 ,43 ,59 ,19 ,47 
FORTE,LM,67,90 ,63 ,54 ,69 ,28 ,66 
ABORAH,CDM,66,69 ,54 ,61 ,62 ,64 ,71 
O'CONNOR,CM,66,68 ,64 ,68 ,60 ,57 ,76 
YEATES,LM,65,70 ,60 ,61 ,69 ,33 ,73 
SMITH,CM,64,42 ,61 ,62 ,64 ,65 ,74 
MILSOM,CM,64,66 ,64 ,64 ,63 ,59 ,67 
BURKE,LM,62,62 ,61 ,61 ,64 ,23 ,52 
RODMAN,RM,61,76 ,57 ,52 ,64 ,26 ,59 
GRANT,CM,60,66 ,49 ,55 ,66 ,45 ,63 
CAMPBELL,LM,60,86 ,59 ,47 ,64 ,22 ,49 
THOMPSON,CM,54,85 ,38 ,55 ,57 ,27 ,76 
RICHARDS,CM,46,64 ,40 ,49 ,52 ,33 ,37 
LAING,CB,65,71 ,33 ,46 ,45 ,64 ,74 
DICKINSON,LB,64,57 ,36 ,53 ,57 ,65 ,80 
HEWITT,RB,64,83 ,40 ,57 ,65 ,58 ,66 
TOOTLE,RB,63,77 ,34 ,54 ,62 ,60 ,72 
EDWARDS,CB,63,33 ,36 ,40 ,39 ,63 ,67 
DUFFY,CB,63,62 ,30 ,48 ,51 ,61 ,71 
HOLLIS,CB,62,40 ,24 ,40 ,42 ,60 ,71 
AUDEL,CB,59,77 ,22 ,46 ,44 ,53 ,69 
ATKINSON,RB,59,65 ,47 ,44 ,54 ,62 ,56 
CLACKSTONE,RB,53,59 ,28 ,32 ,51 ,54 ,58 
COLLIN,GK,67,69 ,62 ,59 ,69 ,33 ,64 
LOACH,GK,64,66 ,60 ,63 ,65 ,56 ,63 
PILKINGTON,GK,49,47 ,48 ,44 ,47 ,20 ,49 
