GOODWILLIE,ST,68,80 ,66 ,62 ,67 ,26 ,70 
TAYLOR,ST,64,59 ,62 ,56 ,63 ,35 ,70 
BRUNT,ST,62,74 ,61 ,45 ,55 ,27 ,73 
SPENCER,ST,61,67 ,58 ,48 ,59 ,25 ,72 
GARITA,ST,60,73 ,60 ,50 ,55 ,36 ,71 
SLEW,ST,60,83 ,56 ,43 ,59 ,27 ,63 
ROONEY,ST,56,71 ,52 ,43 ,56 ,22 ,58 
CAREY,CAM,68,81 ,66 ,67 ,65 ,58 ,73 
SARCEVIC,CM,65,76 ,62 ,65 ,69 ,49 ,62 
KENNEDY,RM,64,76 ,52 ,59 ,67 ,48 ,65 
FOX,CDM,63,52 ,56 ,69 ,61 ,55 ,57 
THRELKELD,CDM,63,72 ,41 ,55 ,57 ,61 ,70 
TANNER,RM,63,75 ,58 ,58 ,66 ,33 ,57 
DONALDSON,RM,62,71 ,57 ,59 ,62 ,42 ,59 
JERVIS,RM,62,78 ,57 ,49 ,62 ,29 ,67 
SMITH,CM,61,67 ,50 ,59 ,62 ,50 ,58 
IJAHA,CDM,59,64 ,38 ,50 ,51 ,57 ,78 
OSBORNE,CB,65,68 ,34 ,47 ,51 ,62 ,76 
BULVITIS,CB,64,66 ,41 ,55 ,49 ,63 ,65 
BRADLEY,CB,64,60 ,40 ,50 ,50 ,70 ,78 
SOKOLIK,CB,63,68 ,26 ,41 ,40 ,61 ,69 
MILLER,RB,63,67 ,30 ,58 ,62 ,61 ,69 
SAWYER,LB,63,62 ,36 ,56 ,54 ,61 ,68 
BRADLEY,CB,62,57 ,29 ,44 ,44 ,60 ,74 
SONGO'O,CB,61,60 ,37 ,43 ,47 ,58 ,71 
PURRINGTON,LB,60,69 ,41 ,56 ,59 ,56 ,64 
MCCORMICK,GK,68,65 ,63 ,70 ,64 ,33 ,67 
DOREL,GK,60,58 ,60 ,58 ,61 ,29 ,62 
MCCALLUM,GK,58,57 ,58 ,52 ,59 ,21 ,58 
