DOYLE,ST,66,73 ,67 ,58 ,66 ,21 ,65 
HUNT,ST,66,67 ,62 ,54 ,63 ,36 ,77 
SMITH,ST,64,68 ,57 ,54 ,55 ,30 ,74 
CHAPLIN,ST,63,84 ,66 ,54 ,66 ,32 ,58 
MAIN,ST,61,63 ,58 ,44 ,58 ,30 ,73 
ROBERTS,CAM,68,54 ,65 ,69 ,71 ,29 ,56 
BENNETT,LM,67,82 ,61 ,60 ,72 ,34 ,52 
ABORAH,CM,66,69 ,54 ,61 ,62 ,64 ,71 
EVANS,RM,66,82 ,61 ,56 ,64 ,34 ,72 
LALKOVIČ,LM,65,83 ,59 ,57 ,67 ,38 ,64 
BAKER,RM,65,67 ,69 ,63 ,67 ,38 ,60 
DOYLE,CM,64,51 ,57 ,64 ,56 ,66 ,79 
ROSE,CM,63,63 ,59 ,64 ,61 ,55 ,62 
LINGANZI,CM,63,64 ,52 ,59 ,62 ,58 ,64 
CLOSE,CM,59,73 ,42 ,61 ,55 ,48 ,60 
NAISMITH,RM,59,74 ,49 ,55 ,63 ,46 ,64 
TOLLITT,RM,57,83 ,40 ,55 ,53 ,36 ,54 
OXLADE-CHAMBERLAIN,CM,52,64 ,40 ,47 ,50 ,42 ,64 
STEVENS,LB,66,71 ,41 ,60 ,62 ,62 ,63 
BURGESS,CB,64,58 ,26 ,34 ,50 ,65 ,71 
CLARKE,CB,64,56 ,34 ,50 ,52 ,64 ,67 
TALBOT,RB,62,69 ,48 ,55 ,61 ,59 ,61 
WHATMOUGH,CB,60,62 ,26 ,45 ,46 ,58 ,66 
BUXTON,LB,59,54 ,35 ,52 ,50 ,60 ,68 
DAVIES,CB,58,68 ,27 ,34 ,38 ,57 ,68 
HYAM,CB,57,59 ,28 ,33 ,35 ,56 ,59 
DAVIES,RB,50,72 ,29 ,39 ,52 ,44 ,47 
FORDE,GK,68,65 ,69 ,64 ,67 ,47 ,71 
O'BRIEN,GK,58,62 ,55 ,65 ,59 ,45 ,52 
BASS,GK,54,56 ,50 ,51 ,54 ,61 ,51 
