AKINFENWA,ST,64,45 ,60 ,51 ,60 ,34 ,85 
AKINFENWA,ST,64,46 ,65 ,55 ,65 ,38 ,83 
AKINFENWA,ST,64,45 ,60 ,51 ,60 ,34 ,80 
HAYES,ST,63,52 ,62 ,59 ,59 ,33 ,69 
THOMPSON,ST,61,61 ,57 ,60 ,61 ,35 ,60 
JAKUBIAK,ST,58,75 ,56 ,45 ,62 ,23 ,52 
KASHKET,ST,54,69 ,57 ,44 ,57 ,21 ,42 
SOUTHWELL,ST,53,58 ,52 ,39 ,52 ,19 ,55 
SAUNDERS,RM,67,67 ,60 ,67 ,70 ,32 ,65 
WOOD,LM,64,74 ,54 ,61 ,62 ,53 ,77 
COWAN-HALL,RM,63,90 ,58 ,52 ,65 ,37 ,57 
WESTON,LM,63,86 ,54 ,57 ,60 ,30 ,57 
MCGINN,CM,63,53 ,62 ,63 ,64 ,44 ,67 
GAPE,CM,61,53 ,46 ,60 ,59 ,60 ,65 
BLOOMFIELD,CM,61,62 ,48 ,56 ,58 ,49 ,64 
BEAN,CM,60,67 ,56 ,55 ,59 ,62 ,73 
HARRIMAN,RM,58,76 ,29 ,50 ,61 ,62 ,72 
O'NIEN,CM,58,70 ,47 ,61 ,58 ,48 ,52 
AINSWORTH,RM,54,37 ,52 ,56 ,58 ,32 ,53 
FREEMAN,RM,52,67 ,41 ,46 ,53 ,27 ,44 
JACOBSON,LB,66,73 ,56 ,58 ,62 ,62 ,74 
JOMBATI,RB,64,71 ,34 ,54 ,56 ,61 ,71 
STEWART,CB,63,61 ,22 ,41 ,44 ,61 ,67 
PIERRE,CB,62,68 ,21 ,34 ,32 ,60 ,74 
MÜLLER,CB,59,54 ,27 ,38 ,42 ,58 ,61 
ROWE,CB,58,61 ,28 ,36 ,35 ,60 ,59 
HAVILLAND,CB,54,64 ,37 ,53 ,54 ,52 ,57 
BROWN,GK,66,65 ,63 ,52 ,70 ,52 ,64 
BLACKMAN,GK,60,59 ,61 ,66 ,63 ,45 ,55 
RICHARDSON,GK,45,37 ,51 ,37 ,33 ,25 ,58 
