JAHANBAKHSH,RW,73,86 ,66 ,64 ,77 ,40 ,70 
WEGHORST,ST,72,55 ,70 ,46 ,63 ,32 ,81 
DOS SANTOS,LW,72,90 ,58 ,69 ,78 ,45 ,52 
FRIDAY,ST,70,83 ,68 ,48 ,68 ,21 ,67 
MÜHREN,ST,68,61 ,69 ,59 ,60 ,35 ,60 
TANKOVIĆ,ST,68,75 ,66 ,61 ,73 ,29 ,64 
GARCÍA,LW,67,84 ,47 ,62 ,75 ,20 ,47 
WUYTENS,CM,74,64 ,56 ,74 ,68 ,70 ,71 
HASSANI,CAM,74,72 ,66 ,73 ,79 ,39 ,58 
OVEREEM,CAM,73,73 ,57 ,74 ,77 ,53 ,57 
RIENSTRA,CM,73,63 ,66 ,65 ,72 ,68 ,75 
SEUNTJENS,CAM,69,70 ,66 ,64 ,71 ,60 ,74 
HELMER,CAM,61,65 ,47 ,61 ,64 ,40 ,43 
HAPS,LB,87,92 ,62 ,75 ,87 ,81 ,85 
VLAAR,CB,78,53 ,57 ,58 ,57 ,80 ,81 
HAPS,LB,76,88 ,54 ,65 ,77 ,70 ,75 
HAPS,LB,74,87 ,53 ,63 ,76 ,68 ,70 
HAPS,LB,74,88 ,55 ,72 ,80 ,73 ,74 
SVENSSON,RB,74,83 ,57 ,69 ,70 ,70 ,81 
VAN EIJDEN,CB,73,40 ,30 ,44 ,47 ,74 ,77 
JOHANSSON,RB,72,85 ,46 ,55 ,74 ,68 ,65 
LINDEN,CB,72,35 ,52 ,66 ,52 ,74 ,70 
LUCKASSEN,CB,72,76 ,55 ,57 ,61 ,70 ,76 
HATZIDIAKOS,CB,65,64 ,38 ,46 ,53 ,64 ,66 
OUWEJAN,LB,63,64 ,50 ,65 ,65 ,57 ,62 
LEWIS,RB,63,81 ,58 ,58 ,68 ,58 ,60 
KRUL,GK,83,83 ,81 ,78 ,85 ,53 ,81 
KRUL,GK,79,79 ,77 ,73 ,81 ,50 ,76 
ROCHET,GK,72,75 ,65 ,77 ,75 ,49 ,65 
COUTINHO,GK,69,73 ,65 ,62 ,71 ,55 ,66 
OLIJ,GK,65,66 ,64 ,61 ,67 ,45 ,60 
