TRAORÉ,RM,81,87 ,80 ,80 ,84 ,36 ,76 
SCHØNE,CM,77,59 ,76 ,81 ,77 ,54 ,59 
YOUNES,LW,77,78 ,68 ,72 ,85 ,25 ,59 
EL GHAZI,RW,76,81 ,76 ,68 ,77 ,29 ,72 
DOLBERG,ST,75,76 ,76 ,61 ,74 ,26 ,69 
SCHØNE,RW,75,59 ,75 ,79 ,77 ,48 ,54 
TRAORÉ,ST,75,85 ,75 ,72 ,79 ,32 ,71 
DOLBERG,ST,74,70 ,78 ,62 ,70 ,25 ,70 
ČERNÝ,RW,69,85 ,62 ,57 ,77 ,23 ,41 
DOLBERG,ST,68,68 ,68 ,54 ,65 ,19 ,61 
EL AZZOUZI,ST,67,76 ,67 ,53 ,72 ,20 ,63 
CASSIERRA,ST,67,72 ,63 ,55 ,63 ,22 ,62 
ZIYECH,CM,86,77 ,85 ,89 ,87 ,53 ,76 
ZIYECH,CM,84,75 ,83 ,86 ,85 ,50 ,72 
KLAASSEN,CM,83,75 ,83 ,77 ,81 ,70 ,83 
ZIYECH,CAM,81,73 ,78 ,82 ,80 ,46 ,65 
ZIYECH,CAM,81,74 ,80 ,85 ,80 ,50 ,70 
ZIYECH,CAM,80,73 ,77 ,82 ,77 ,46 ,65 
KLAASSEN,CAM,80,73 ,78 ,72 ,75 ,65 ,78 
GUDELJ,CDM,78,62 ,70 ,78 ,68 ,71 ,86 
BAZOER,CM,77,76 ,66 ,75 ,79 ,64 ,75 
SINKGRAVEN,CAM,74,80 ,60 ,73 ,78 ,46 ,54 
SERERO,CM,73,83 ,49 ,66 ,78 ,62 ,54 
BEEK,CM,70,58 ,65 ,68 ,70 ,54 ,68 
NOURI,CAM,68,65 ,50 ,72 ,75 ,36 ,39 
DE JONG,CM,66,62 ,51 ,67 ,70 ,47 ,51 
CLEMENT,CAM,64,76 ,60 ,60 ,66 ,39 ,55 
EITING,CDM,63,66 ,44 ,65 ,66 ,53 ,58 
VIERGEVER,LB,81,73 ,60 ,76 ,75 ,83 ,85 
VELTMAN,CB,80,66 ,50 ,63 ,67 ,82 ,75 
TETE,RB,77,79 ,42 ,60 ,68 ,79 ,76 
DIJKS,LB,76,79 ,40 ,63 ,67 ,75 ,81 
RIEDEWALD,CB,76,75 ,51 ,66 ,70 ,76 ,73 
SÁNCHEZ,CB,76,72 ,47 ,50 ,52 ,76 ,79 
SÁNCHEZ,CB,74,74 ,35 ,57 ,53 ,75 ,82 
WESTERMANN,CB,74,43 ,54 ,59 ,48 ,74 ,76 
VIERGEVER,LB,74,71 ,55 ,70 ,70 ,78 ,82 
VIERGEVER,CB,74,70 ,49 ,61 ,62 ,73 ,76 
SÁNCHEZ,CB,71,72 ,33 ,50 ,49 ,69 ,78 
OWUSU,RB,65,81 ,60 ,60 ,63 ,60 ,71 
DE LIGT,CB,64,60 ,30 ,52 ,42 ,70 ,70 
DE LIGT,CB,63,58 ,28 ,48 ,40 ,63 ,62 
ZEEFUIK,RB,60,69 ,29 ,46 ,49 ,60 ,57 
KRUL,GK,79,79 ,77 ,73 ,81 ,50 ,76 
ONANA,GK,74,80 ,70 ,70 ,78 ,57 ,70 
BOER,GK,71,66 ,77 ,55 ,69 ,31 ,76 
ONANA,GK,69,74 ,63 ,63 ,73 ,52 ,62 
