ÜNAL,ST,70,72 ,71 ,60 ,68 ,31 ,67 
EDE,LW,67,89 ,63 ,61 ,69 ,22 ,64 
BØRVEN,ST,67,74 ,65 ,50 ,69 ,31 ,65 
OOSTERWIJK,ST,66,61 ,67 ,55 ,54 ,28 ,69 
HÖLSCHER,RW,65,71 ,60 ,68 ,67 ,44 ,58 
YEBOAH,RW,63,79 ,61 ,48 ,67 ,22 ,42 
DE JAGER,ST,59,55 ,60 ,48 ,50 ,27 ,55 
SEYS,LW,59,77 ,55 ,55 ,60 ,20 ,52 
BUNJAKI,ST,59,67 ,58 ,45 ,58 ,26 ,60 
MOKOTJO,CDM,73,72 ,59 ,71 ,73 ,64 ,70 
KLICH,CM,71,68 ,63 ,69 ,71 ,46 ,64 
KLICH,CM,70,68 ,63 ,69 ,71 ,46 ,59 
EBECILIO,CM,70,67 ,60 ,64 ,68 ,68 ,75 
CELINA,CAM,66,70 ,65 ,61 ,69 ,19 ,56 
THESKER,CDM,66,53 ,37 ,53 ,57 ,68 ,73 
HEYDEN,CM,64,62 ,56 ,61 ,61 ,52 ,64 
KATSIKAS,CB,71,50 ,47 ,37 ,45 ,72 ,69 
TER AVEST,RB,68,75 ,37 ,56 ,66 ,66 ,66 
ANDERSEN,CB,68,69 ,44 ,53 ,55 ,67 ,71 
HOOIVELD,CB,68,33 ,45 ,53 ,50 ,66 ,67 
BIJEN,CB,67,50 ,35 ,44 ,45 ,67 ,72 
LELY,LB,64,65 ,32 ,56 ,61 ,63 ,57 
STEVENS,GK,68,68 ,68 ,61 ,67 ,38 ,63 
MARSMAN,GK,68,69 ,62 ,72 ,74 ,34 ,63 
DROMMEL,GK,67,72 ,65 ,63 ,65 ,41 ,61 
HENGELMAN,GK,64,60 ,61 ,69 ,66 ,49 ,66 
PLATTEL,GK,62,64 ,62 ,60 ,62 ,35 ,62 
