HALLER,ST,77,77 ,75 ,55 ,73 ,25 ,75 
RUBIN,ST,68,75 ,63 ,60 ,73 ,29 ,57 
ŽIVKOVIĆ,ST,68,79 ,68 ,55 ,67 ,19 ,62 
PETERSON,LW,67,77 ,60 ,60 ,74 ,36 ,57 
JOOSTEN,ST,67,83 ,64 ,61 ,71 ,42 ,65 
PETERSON,LW,66,77 ,60 ,60 ,74 ,36 ,52 
KERK,RW,64,86 ,55 ,50 ,67 ,24 ,64 
KERK,RW,64,86 ,55 ,50 ,67 ,24 ,64 
MOOT,ST,63,59 ,65 ,49 ,61 ,24 ,63 
AYOUB,CM,74,71 ,68 ,75 ,76 ,62 ,68 
BARAZITE,CAM,73,63 ,67 ,70 ,77 ,25 ,62 
JANSSEN,CM,72,55 ,68 ,69 ,68 ,64 ,77 
BRAMA,CDM,72,53 ,53 ,67 ,67 ,69 ,71 
STRIEDER,CDM,70,65 ,42 ,64 ,66 ,67 ,67 
LUDWIG,CM,68,71 ,66 ,69 ,68 ,52 ,68 
AMRABAT,CM,66,69 ,45 ,67 ,73 ,54 ,66 
LEEUWIN,CB,73,70 ,46 ,62 ,56 ,72 ,78 
BRAAFHEID,LB,72,69 ,44 ,67 ,70 ,71 ,72 
MAAREL,RB,69,73 ,42 ,55 ,63 ,71 ,68 
KLAIBER,RB,68,74 ,54 ,64 ,62 ,66 ,71 
KOCH,CB,68,45 ,34 ,47 ,51 ,68 ,68 
CONBOY,LB,68,67 ,51 ,63 ,63 ,66 ,75 
TROUPÉE,RB,66,77 ,39 ,59 ,66 ,61 ,69 
MEER,LB,66,74 ,41 ,58 ,60 ,64 ,82 
ROSHEUVEL,CB,64,74 ,48 ,59 ,60 ,60 ,67 
ABENA,CB,63,55 ,33 ,43 ,50 ,59 ,71 
HARDEVELD,LB,63,57 ,39 ,58 ,60 ,66 ,62 
DE LANGE,CB,61,50 ,31 ,38 ,37 ,61 ,69 
MOORE,RB,59,69 ,32 ,42 ,61 ,60 ,48 
RUITER,GK,74,72 ,73 ,71 ,73 ,55 ,77 
JENSEN,GK,67,63 ,66 ,78 ,66 ,52 ,66 
NIJHUIS,GK,58,63 ,54 ,59 ,58 ,17 ,54 
