DARRI,LW,70,77 ,61 ,57 ,80 ,26 ,51 
NAVRÁTIL,RW,68,88 ,64 ,58 ,71 ,37 ,57 
KUWAS,RW,68,79 ,64 ,61 ,72 ,22 ,60 
KUWAS,RW,68,79 ,64 ,61 ,72 ,22 ,60 
VERMEIJ,ST,68,65 ,62 ,49 ,62 ,27 ,70 
MIEGHEM,LW,67,88 ,55 ,60 ,72 ,25 ,47 
PETERSON,LW,66,77 ,60 ,60 ,74 ,36 ,52 
KADA,RW,64,77 ,60 ,56 ,72 ,29 ,55 
BRUNS,CM,71,75 ,64 ,66 ,70 ,56 ,71 
PELUPESSY,CDM,71,68 ,42 ,65 ,69 ,68 ,74 
DUARTE,CAM,70,65 ,68 ,71 ,71 ,54 ,62 
VAN OOIJEN,CM,69,65 ,63 ,68 ,68 ,62 ,58 
VUJIČEVIĆ,CM,68,56 ,62 ,66 ,74 ,55 ,56 
THOMAS,CAM,63,65 ,52 ,62 ,64 ,49 ,50 
AGBALJAN,CM,62,69 ,51 ,58 ,64 ,56 ,63 
NIEMEIJER,CAM,57,66 ,48 ,56 ,56 ,41 ,47 
TE WIERIK,CB,73,65 ,48 ,63 ,60 ,72 ,73 
DROSTE,RB,71,75 ,29 ,60 ,67 ,70 ,68 
ZOMER,CB,71,39 ,44 ,59 ,53 ,70 ,67 
GOSENS,LB,71,72 ,62 ,66 ,70 ,69 ,71 
FLEDDERUS,LB,68,44 ,70 ,70 ,65 ,69 ,72 
BREUKERS,RB,68,69 ,48 ,59 ,60 ,67 ,71 
PRÖPPER,CB,67,62 ,51 ,58 ,56 ,67 ,71 
HOOGMA,CB,64,60 ,29 ,45 ,44 ,63 ,66 
DE KLER,LB,60,63 ,29 ,47 ,61 ,59 ,58 
BERG,CB,56,58 ,28 ,36 ,36 ,59 ,49 
CASTRO,GK,70,67 ,66 ,74 ,69 ,37 ,76 
FIJ,GK,63,62 ,61 ,65 ,66 ,33 ,62 
BROUWER,GK,58,62 ,57 ,57 ,59 ,25 ,53 
