SCHAHIN,ST,68,62 ,66 ,52 ,64 ,37 ,72 
PAPAZOGLOU,ST,68,42 ,68 ,59 ,57 ,28 ,78 
CHURCH,ST,67,73 ,64 ,60 ,64 ,40 ,67 
PAULISSEN,LW,67,77 ,60 ,62 ,69 ,42 ,67 
MYTIDES,ST,66,77 ,62 ,57 ,64 ,31 ,64 
ROSHEUVEL,RW,66,85 ,60 ,59 ,70 ,28 ,61 
DE SILVA,LW,61,71 ,51 ,57 ,68 ,31 ,46 
BLÄTTLER,ST,60,52 ,63 ,47 ,56 ,23 ,59 
AJAGUN,CAM,72,84 ,70 ,62 ,74 ,20 ,55 
VAN HYFTE,CM,69,61 ,63 ,71 ,67 ,50 ,62 
AUASSAR,CM,69,53 ,63 ,67 ,63 ,64 ,82 
GULLÓN,CDM,67,46 ,55 ,60 ,53 ,64 ,76 
HOURI,CM,66,66 ,56 ,68 ,68 ,51 ,54 
EL MAKRINI,CDM,66,57 ,44 ,62 ,65 ,59 ,74 
NOOR,CM,66,73 ,58 ,63 ,66 ,60 ,67 
VAN SON,CDM,64,54 ,41 ,56 ,61 ,64 ,66 
RUTJES,CM,64,52 ,52 ,59 ,64 ,64 ,67 
BROUWERS,CB,74,35 ,46 ,44 ,41 ,76 ,72 
KUM,CB,72,70 ,43 ,56 ,59 ,71 ,72 
VERBOOM,LB,71,77 ,55 ,63 ,69 ,68 ,74 
MILEC,RB,68,77 ,48 ,59 ,63 ,65 ,63 
VAN PEPPEN,LB,68,67 ,58 ,60 ,62 ,67 ,71 
ANANOU,RB,63,81 ,38 ,46 ,49 ,61 ,64 
WERKER,CB,63,58 ,35 ,49 ,44 ,62 ,66 
YASAR,LB,60,68 ,23 ,49 ,58 ,62 ,57 
DEMIRTAPA,LB,59,57 ,34 ,50 ,61 ,60 ,58 
VAN LEER,GK,73,72 ,78 ,66 ,71 ,25 ,70 
DE WINTER,GK,66,68 ,64 ,56 ,64 ,45 ,66 
WOLTERS,GK,59,66 ,53 ,54 ,60 ,47 ,59 
