RASHICA,RW,74,90 ,69 ,65 ,80 ,29 ,62 
WOLFSWINKEL,ST,73,65 ,74 ,61 ,72 ,36 ,68 
NATHAN,LW,71,84 ,66 ,65 ,80 ,23 ,54 
DAUDA,ST,68,78 ,72 ,49 ,62 ,34 ,58 
YUNING,ST,66,66 ,64 ,57 ,59 ,28 ,64 
VAN BERGEN,RW,63,87 ,56 ,53 ,69 ,22 ,44 
BAKER,CM,74,71 ,80 ,81 ,75 ,60 ,75 
BAKER,CM,74,70 ,71 ,76 ,71 ,54 ,70 
TIGHADOUINI,LM,73,73 ,74 ,68 ,79 ,32 ,62 
NAKAMBA,CDM,72,72 ,50 ,58 ,70 ,70 ,79 
FOOR,CAM,70,81 ,62 ,66 ,74 ,34 ,46 
YEINI,CDM,69,53 ,40 ,62 ,60 ,71 ,66 
KORYAN,CAM,65,76 ,65 ,57 ,76 ,20 ,56 
OSMAN,CAM,64,66 ,58 ,61 ,66 ,35 ,57 
KASHIA,CB,78,58 ,28 ,62 ,60 ,77 ,80 
MIAZGA,CB,73,66 ,26 ,46 ,58 ,73 ,74 
WERFF,CB,72,59 ,55 ,64 ,53 ,72 ,74 
KRUISWIJK,CB,72,50 ,43 ,55 ,54 ,73 ,71 
DIKS,RB,71,77 ,40 ,54 ,66 ,71 ,71 
LEERDAM,RB,70,72 ,58 ,67 ,68 ,65 ,72 
OTA,LB,69,73 ,56 ,72 ,71 ,62 ,65 
LELIEVELD,RB,63,70 ,38 ,56 ,59 ,61 ,58 
OUDE KOTTE,CB,61,58 ,48 ,58 ,48 ,61 ,61 
ROOM,GK,75,78 ,77 ,72 ,72 ,46 ,72 
HOUWEN,GK,64,67 ,64 ,60 ,68 ,44 ,60 
TØRNES,GK,63,59 ,61 ,62 ,68 ,62 ,63 
