OGBECHE,ST,70,71 ,72 ,52 ,66 ,30 ,73 
OULARÉ,ST,69,74 ,65 ,56 ,61 ,27 ,70 
SOL,ST,69,68 ,71 ,49 ,61 ,26 ,62 
ANDRADE,LW,68,74 ,67 ,60 ,72 ,25 ,65 
CROUX,RW,65,77 ,62 ,57 ,72 ,26 ,58 
CALCAN,RW,62,74 ,54 ,60 ,67 ,41 ,51 
WOUTERS,ST,57,60 ,58 ,48 ,56 ,23 ,44 
FALKENBURG,CAM,71,64 ,72 ,66 ,68 ,38 ,65 
OJO,CM,69,71 ,63 ,68 ,68 ,58 ,66 
HAYE,CM,69,72 ,56 ,69 ,72 ,59 ,61 
KALI,CM,69,66 ,57 ,73 ,69 ,55 ,63 
BOOMEN,CM,68,67 ,65 ,70 ,64 ,57 ,75 
SCHUURMAN,CAM,67,72 ,66 ,60 ,65 ,41 ,51 
KOKS,CM,56,64 ,45 ,52 ,58 ,48 ,53 
PETERS,CB,71,60 ,36 ,63 ,57 ,71 ,69 
VAN ANHOLT,RB,70,76 ,53 ,61 ,70 ,68 ,75 
WUYTENS,CB,70,52 ,26 ,53 ,51 ,70 ,69 
LACHMAN,CB,70,62 ,46 ,57 ,56 ,67 ,80 
KOPPERS,LB,67,67 ,43 ,60 ,67 ,67 ,66 
JOPPEN,LB,67,65 ,42 ,60 ,62 ,67 ,68 
HEERKENS,RB,66,64 ,26 ,54 ,49 ,68 ,68 
KOK,CB,60,64 ,46 ,59 ,61 ,57 ,63 
FRANSSEN,CB,56,56 ,29 ,34 ,38 ,57 ,55 
LAMPROU,GK,68,76 ,60 ,70 ,75 ,44 ,60 
BERTRAMS,GK,63,66 ,67 ,57 ,60 ,55 ,57 
BRANDERHORST,GK,59,61 ,59 ,56 ,60 ,40 ,58 
