ODUAMADI,LW,66,94 ,50 ,54 ,73 ,20 ,62 
MORELOS,ST,65,76 ,63 ,46 ,58 ,21 ,69 
JALLOW,ST,64,75 ,55 ,47 ,66 ,24 ,66 
ALHO,RW,63,82 ,53 ,58 ,67 ,25 ,55 
FORSSELL,ST,63,44 ,64 ,51 ,62 ,27 ,57 
GADZE,ST,62,74 ,64 ,41 ,64 ,18 ,52 
LAPPALAINEN,ST,57,77 ,54 ,42 ,57 ,18 ,61 
LINGMAN,RW,57,70 ,46 ,50 ,63 ,29 ,56 
YLÄTUPA,RW,54,72 ,43 ,49 ,57 ,27 ,48 
ANNAN,CDM,64,77 ,52 ,58 ,65 ,61 ,67 
TANAKA,CAM,64,80 ,74 ,67 ,70 ,60 ,60 
TANAKA,CM,64,78 ,66 ,60 ,64 ,54 ,56 
KOLEHMAINEN,CM,64,70 ,48 ,58 ,65 ,62 ,66 
MALOLO,CDM,60,74 ,47 ,53 ,62 ,58 ,59 
ONOVO,CM,58,85 ,50 ,52 ,66 ,52 ,53 
DAHLSTRÖM,CM,57,70 ,46 ,53 ,60 ,50 ,59 
TAIWO,CB,73,81 ,62 ,69 ,66 ,71 ,76 
RAFINHA,CB,69,59 ,60 ,65 ,64 ,68 ,69 
PATRONEN,CB,65,52 ,44 ,43 ,44 ,64 ,69 
JALASTO,RB,64,61 ,45 ,51 ,52 ,66 ,73 
TATOMIROVIĆ,CB,64,56 ,20 ,29 ,44 ,65 ,71 
PEIPONEN,RB,63,76 ,46 ,55 ,60 ,56 ,57 
REXHEPI,RB,60,54 ,35 ,48 ,48 ,64 ,71 
SORSA,RB,60,68 ,54 ,58 ,66 ,53 ,51 
VÄISÄNEN,CB,58,64 ,26 ,28 ,35 ,57 ,69 
HALME,CB,57,50 ,18 ,35 ,41 ,55 ,69 
JÄRVENPÄÄ,RB,57,70 ,26 ,41 ,43 ,55 ,66 
DÄHNE,GK,61,63 ,56 ,48 ,65 ,57 ,61 
UUSITALO,GK,59,65 ,55 ,59 ,63 ,33 ,51 
KOSKI,GK,54,56 ,53 ,61 ,58 ,21 ,51 
