ATHANASIADIS,ST,75,73 ,74 ,64 ,70 ,44 ,70 
JAIRO,ST,72,83 ,69 ,63 ,70 ,42 ,68 
PRIJOVIĆ,ST,71,70 ,68 ,54 ,69 ,36 ,74 
PEREYRA,ST,71,79 ,71 ,68 ,74 ,31 ,54 
MYSTAKIDIS,ST,69,74 ,66 ,63 ,71 ,34 ,67 
KOULOURIS,ST,68,69 ,67 ,45 ,66 ,21 ,58 
HENRIQUE,RM,76,85 ,71 ,72 ,79 ,26 ,55 
CAÑAS,CDM,75,63 ,45 ,66 ,58 ,72 ,75 
RODRIGUES,LM,75,86 ,68 ,70 ,75 ,46 ,70 
PELKAS,CAM,73,79 ,66 ,71 ,75 ,26 ,49 
DJALMA,RM,73,84 ,67 ,67 ,73 ,41 ,74 
TZIOLIS,CDM,73,53 ,64 ,68 ,60 ,70 ,76 
BISESWAR,LM,72,84 ,68 ,65 ,77 ,27 ,68 
THIAM,RM,72,80 ,69 ,64 ,73 ,22 ,75 
CIMIROT,CM,71,74 ,66 ,68 ,73 ,58 ,64 
SHAKHOV,CAM,71,72 ,68 ,64 ,70 ,59 ,70 
CHARISIS,CDM,70,63 ,62 ,68 ,64 ,66 ,70 
KOROVESIS,LM,68,76 ,59 ,66 ,68 ,60 ,65 
TZAVELLAS,CB,74,68 ,62 ,68 ,62 ,73 ,77 
MATOS,RB,74,81 ,76 ,75 ,78 ,70 ,80 
VARELA,CB,73,67 ,44 ,54 ,54 ,74 ,76 
CRESPO,CB,73,67 ,39 ,64 ,61 ,72 ,76 
MALEZAS,CB,72,54 ,33 ,47 ,50 ,73 ,70 
KITSIOU,RB,72,80 ,60 ,66 ,68 ,68 ,69 
MATOS,LB,72,79 ,67 ,69 ,73 ,66 ,75 
SKONDRAS,RB,72,71 ,51 ,60 ,67 ,73 ,73 
LEOVAC,LB,71,80 ,47 ,63 ,69 ,67 ,75 
CHATZIISAIAS,CB,70,57 ,41 ,44 ,44 ,71 ,74 
BRKIĆ,GK,73,77 ,69 ,59 ,74 ,40 ,76 
GLYKOS,GK,73,76 ,69 ,67 ,78 ,49 ,68 
VELLIDIS,GK,72,74 ,67 ,65 ,75 ,56 ,70 
