MACLAREN,ST,74,87 ,80 ,68 ,77 ,40 ,75 
OAR,LW,71,81 ,60 ,70 ,75 ,33 ,51 
BROICH,LW,70,62 ,66 ,71 ,73 ,48 ,59 
MACLAREN,ST,70,85 ,67 ,61 ,69 ,36 ,70 
BORRELLO,RW,63,80 ,62 ,52 ,64 ,20 ,70 
BRADY,RW,54,73 ,44 ,52 ,55 ,37 ,38 
MCKAY,CM,71,67 ,56 ,69 ,68 ,56 ,67 
KRISTENSEN,CDM,70,60 ,59 ,68 ,64 ,63 ,77 
PETRATOS,CM,65,84 ,59 ,64 ,67 ,47 ,62 
PEPPER,CDM,60,57 ,47 ,49 ,50 ,61 ,74 
CALETTI,CM,55,65 ,39 ,53 ,60 ,52 ,48 
PAPADOPOULOS,CB,75,53 ,53 ,59 ,59 ,74 ,80 
DEVERE,CB,68,57 ,41 ,48 ,44 ,67 ,74 
NORTH,CB,67,65 ,50 ,54 ,47 ,66 ,74 
HINGERT,RB,67,81 ,37 ,58 ,66 ,61 ,72 
BOWLES,CB,64,68 ,38 ,54 ,55 ,65 ,68 
BROWN,LB,61,74 ,44 ,54 ,58 ,59 ,62 
YOUNG,GK,66,67 ,59 ,60 ,69 ,50 ,65 
THEO,GK,64,63 ,59 ,65 ,64 ,51 ,61 
