FERREIRA,RW,65,83 ,59 ,57 ,67 ,29 ,50 
O'DONOVAN,ST,63,82 ,62 ,52 ,64 ,23 ,66 
POWELL,ST,62,72 ,59 ,47 ,60 ,22 ,54 
PAIN,LW,60,89 ,59 ,42 ,62 ,30 ,46 
BINGHAM,ST,58,76 ,55 ,46 ,54 ,32 ,61 
APPIAH,RW,57,91 ,40 ,49 ,63 ,33 ,47 
APPIAH,RW,57,91 ,40 ,49 ,63 ,33 ,47 
TAVARES,CDM,67,62 ,51 ,60 ,67 ,65 ,72 
MONTGOMERY,CDM,65,42 ,48 ,52 ,60 ,65 ,78 
ROSE,CDM,61,68 ,47 ,58 ,61 ,55 ,67 
FATY,CB,66,54 ,42 ,54 ,52 ,65 ,74 
GALLOWAY,LB,64,75 ,37 ,51 ,60 ,62 ,64 
ROUX,RB,64,74 ,49 ,54 ,59 ,62 ,68 
ASCROFT,CB,62,71 ,31 ,51 ,54 ,59 ,72 
POSCOLIERO,CB,62,72 ,33 ,51 ,48 ,61 ,70 
MCGING,CB,61,67 ,37 ,46 ,49 ,62 ,60 
MCDONALD,LB,60,81 ,46 ,50 ,58 ,55 ,60 
NEILL,LB,60,74 ,49 ,53 ,57 ,56 ,61 
NECEVSKI,GK,59,60 ,48 ,50 ,64 ,41 ,61 
IZZO,GK,58,64 ,53 ,50 ,66 ,31 ,50 
NECEVSKI,GK,58,60 ,48 ,50 ,59 ,41 ,61 
