CAHILL,ST,80,70 ,81 ,65 ,72 ,57 ,82 
FORNAROLI,ST,76,78 ,74 ,62 ,75 ,38 ,73 
CAHILL,ST,74,62 ,68 ,56 ,64 ,50 ,74 
COLAZO,LW,70,81 ,63 ,71 ,71 ,66 ,67 
FITZGERALD,RW,64,85 ,59 ,58 ,66 ,39 ,58 
GAMEIRO,ST,64,78 ,64 ,49 ,63 ,37 ,64 
KAMAU,RW,63,86 ,58 ,52 ,66 ,28 ,49 
KUZMANOVSKI,RW,58,72 ,55 ,47 ,67 ,24 ,43 
BRATTAN,CDM,69,66 ,61 ,72 ,64 ,57 ,69 
CACERES,CAM,67,73 ,60 ,66 ,66 ,59 ,68 
KILKENNY,CM,66,50 ,47 ,68 ,64 ,53 ,60 
BRANDÁN,RM,65,91 ,56 ,57 ,69 ,31 ,46 
FRANJIC,RB,68,76 ,62 ,64 ,67 ,62 ,70 
JAKOBSEN,CB,67,61 ,47 ,56 ,51 ,63 ,77 
MALIK,CB,66,72 ,38 ,57 ,60 ,63 ,74 
MUSCAT,LB,65,56 ,49 ,56 ,64 ,66 ,82 
CHAPMAN,CB,64,67 ,30 ,44 ,44 ,66 ,64 
ROSE,LB,63,67 ,50 ,58 ,61 ,60 ,69 
RETRE,RB,61,69 ,47 ,53 ,61 ,60 ,61 
TONGYIK,CB,53,67 ,26 ,30 ,39 ,51 ,64 
SØRENSEN,GK,72,67 ,70 ,68 ,71 ,30 ,73 
BOUZANIS,GK,61,59 ,58 ,63 ,62 ,52 ,58 
