BERISHA,ST,81,78 ,84 ,70 ,81 ,33 ,85 
BERISHA,ST,74,76 ,80 ,65 ,77 ,30 ,84 
KHALFALLAH,LW,74,75 ,70 ,80 ,81 ,42 ,65 
BERISHA,ST,74,74 ,69 ,58 ,72 ,26 ,81 
BERISHA,ST,74,74 ,69 ,58 ,72 ,26 ,81 
KHALFALLAH,LW,71,73 ,65 ,69 ,76 ,38 ,62 
AUSTIN,LW,64,91 ,56 ,55 ,66 ,47 ,68 
TROISI,CAM,74,74 ,75 ,78 ,80 ,41 ,70 
BEISTER,RM,73,79 ,70 ,69 ,73 ,39 ,66 
TROISI,CAM,73,73 ,69 ,72 ,74 ,37 ,64 
VALERI,CDM,68,56 ,54 ,61 ,61 ,65 ,78 
BOZANIC,CM,67,75 ,64 ,66 ,68 ,56 ,58 
MAHAZI,CDM,64,62 ,43 ,56 ,60 ,60 ,74 
BARÓ,CB,71,66 ,48 ,49 ,42 ,71 ,84 
GERIA,RB,67,83 ,36 ,53 ,61 ,65 ,75 
ANSELL,CB,66,65 ,29 ,48 ,43 ,64 ,74 
BROXHAM,CB,66,50 ,56 ,54 ,56 ,62 ,84 
GEORGIEVSKI,LB,65,74 ,56 ,59 ,62 ,62 ,75 
DONACHIE,CB,64,68 ,32 ,46 ,43 ,63 ,69 
GALLOWAY,LB,64,75 ,37 ,51 ,60 ,62 ,64 
THOMAS,GK,64,66 ,63 ,56 ,64 ,30 ,63 
