SANTALAB,ST,64,70 ,80 ,53 ,67 ,37 ,74 
BULUT,ST,63,81 ,64 ,40 ,61 ,25 ,65 
SANTALAB,ST,63,67 ,69 ,47 ,60 ,32 ,70 
SOTIRIO,LW,58,83 ,47 ,52 ,60 ,27 ,60 
NICHOLS,CAM,69,67 ,68 ,66 ,67 ,55 ,61 
DIMAS,CDM,66,56 ,59 ,64 ,69 ,58 ,70 
MELLING,CDM,64,68 ,44 ,56 ,57 ,59 ,75 
LUŠTICA,CM,63,66 ,59 ,62 ,59 ,45 ,63 
KUSUKAMI,CAM,63,69 ,54 ,58 ,61 ,38 ,50 
BACCUS,CM,59,74 ,44 ,57 ,59 ,50 ,60 
YOULLEY,CDM,54,66 ,48 ,46 ,50 ,53 ,50 
BORDA,CB,68,45 ,35 ,44 ,43 ,68 ,76 
CORNTHWAITE,CB,67,43 ,41 ,40 ,34 ,69 ,78 
CORNTHWAITE,CB,66,43 ,41 ,40 ,34 ,69 ,73 
TOPOR-STANLEY,CB,66,36 ,41 ,53 ,45 ,62 ,85 
NEVILLE,RB,65,62 ,48 ,56 ,50 ,66 ,70 
HAMILL,CB,62,64 ,43 ,48 ,48 ,61 ,63 
ASPROPOTAMITIS,CB,62,57 ,23 ,41 ,33 ,62 ,69 
COLE,RB,62,61 ,56 ,61 ,62 ,60 ,54 
CLISBY,LB,60,66 ,52 ,52 ,49 ,60 ,71 
JANJETOVIĆ,GK,66,66 ,60 ,63 ,68 ,39 ,64 
REDMAYNE,GK,62,63 ,58 ,56 ,65 ,42 ,62 
TYSON,GK,61,62 ,58 ,61 ,64 ,55 ,59 
