DAMJANOVIĆ,ST,77,77 ,76 ,67 ,71 ,30 ,76 
ADRIANO,ST,76,89 ,77 ,56 ,73 ,31 ,62 
YOUNG,ST,68,68 ,68 ,67 ,71 ,34 ,66 
TAE,ST,66,80 ,63 ,59 ,70 ,27 ,71 
TAKAHAGI,CM,70,50 ,61 ,68 ,69 ,59 ,60 
HAN,RM,69,80 ,59 ,65 ,68 ,60 ,67 
SUNG,CM,69,51 ,64 ,65 ,66 ,64 ,72 
LOK,LM,69,80 ,65 ,63 ,71 ,43 ,68 
MIN,LM,67,87 ,58 ,58 ,67 ,56 ,49 
WOO,LM,67,81 ,60 ,71 ,61 ,61 ,67 
TAE,CM,67,68 ,70 ,65 ,65 ,65 ,74 
HO,RM,67,76 ,62 ,64 ,69 ,41 ,68 
JONG,CDM,66,64 ,57 ,72 ,65 ,58 ,62 
HYUN,CAM,66,72 ,62 ,64 ,63 ,19 ,55 
HO,RM,65,87 ,65 ,63 ,69 ,50 ,71 
HYEOB,CM,61,62 ,59 ,61 ,61 ,37 ,57 
HOAN,CDM,61,61 ,46 ,51 ,53 ,60 ,77 
JIN,CM,57,58 ,53 ,53 ,59 ,51 ,61 
HWI,CB,74,63 ,54 ,54 ,54 ,72 ,79 
OSMAR,CB,71,56 ,59 ,67 ,60 ,69 ,78 
RO,RB,67,70 ,30 ,59 ,66 ,66 ,75 
WHAN,CB,66,74 ,36 ,48 ,54 ,63 ,75 
YEON,CB,65,39 ,53 ,51 ,51 ,63 ,75 
SIK,CB,64,73 ,36 ,52 ,49 ,61 ,76 
WOO,CB,64,62 ,41 ,48 ,50 ,62 ,72 
GUN,CB,63,68 ,31 ,47 ,49 ,62 ,65 
WOO,CB,63,51 ,54 ,54 ,50 ,60 ,72 
CHUN,CB,62,46 ,23 ,29 ,35 ,62 ,72 
SOO,CB,58,62 ,51 ,29 ,47 ,55 ,66 
HUN,GK,68,68 ,66 ,60 ,69 ,42 ,63 
HYUN,GK,65,68 ,56 ,71 ,64 ,54 ,64 
BEEN,GK,56,64 ,54 ,55 ,54 ,42 ,50 
