GOOK,ST,69,66 ,68 ,58 ,62 ,25 ,75 
MIN,RW,62,71 ,60 ,58 ,61 ,49 ,71 
JOON,LW,59,80 ,53 ,48 ,64 ,28 ,52 
WOOK,LW,58,76 ,48 ,46 ,65 ,23 ,33 
HYEON,ST,55,76 ,54 ,37 ,55 ,19 ,41 
YOUNG,ST,54,53 ,52 ,47 ,51 ,26 ,48 
WOO,ST,54,65 ,53 ,41 ,58 ,28 ,50 
NEVES,CAM,67,79 ,65 ,62 ,68 ,51 ,57 
REUM,CM,66,75 ,52 ,66 ,65 ,56 ,71 
HYEOK,CAM,65,62 ,60 ,62 ,62 ,28 ,69 
HYEOK,CM,62,71 ,44 ,60 ,60 ,53 ,67 
DONG,CM,62,56 ,52 ,59 ,61 ,59 ,76 
TAE,LM,61,74 ,56 ,55 ,59 ,28 ,64 
WOO,LM,59,72 ,55 ,54 ,61 ,36 ,56 
HONG,CAM,58,62 ,58 ,62 ,50 ,38 ,64 
HYEON,CM,55,54 ,46 ,54 ,53 ,46 ,58 
MIN,RB,68,80 ,55 ,61 ,66 ,64 ,72 
JIN,CB,63,69 ,25 ,44 ,47 ,62 ,67 
JEONG,CB,62,86 ,35 ,43 ,43 ,61 ,76 
YUN,RB,60,65 ,30 ,56 ,49 ,56 ,63 
BIN,CB,60,50 ,24 ,33 ,36 ,59 ,70 
DDEUM,LB,59,65 ,38 ,54 ,56 ,56 ,68 
HO,CB,57,60 ,30 ,41 ,39 ,57 ,61 
WELLINGTON,CB,56,50 ,24 ,34 ,32 ,53 ,69 
GI,RB,54,62 ,29 ,44 ,40 ,54 ,58 
SANG,GK,64,64 ,65 ,64 ,62 ,28 ,64 
JIN,GK,57,54 ,57 ,62 ,54 ,46 ,62 
GU,GK,53,54 ,55 ,56 ,49 ,27 ,49 
