MENDY,ST,72,65 ,69 ,54 ,63 ,29 ,81 
TOSCANO,ST,72,69 ,71 ,70 ,68 ,54 ,73 
HO,ST,68,79 ,63 ,61 ,66 ,42 ,71 
WOOK,ST,65,75 ,58 ,48 ,66 ,21 ,75 
HWAN,RW,65,84 ,59 ,59 ,62 ,31 ,65 
HYEON,ST,64,66 ,60 ,57 ,59 ,37 ,63 
HENAN,ST,64,68 ,62 ,54 ,64 ,36 ,63 
WANDERSON,ST,61,74 ,60 ,54 ,64 ,56 ,66 
HYUN,RW,60,84 ,46 ,56 ,58 ,27 ,48 
HYUNG,CAM,69,81 ,62 ,68 ,68 ,60 ,62 
TAE,CM,67,68 ,70 ,65 ,65 ,65 ,74 
SUNG,CM,67,75 ,61 ,67 ,65 ,60 ,66 
SU,RM,67,88 ,54 ,60 ,70 ,31 ,62 
HYUNG,CM,66,34 ,58 ,65 ,65 ,58 ,69 
NAM,LM,65,68 ,58 ,63 ,64 ,40 ,73 
MIN,CM,65,64 ,54 ,65 ,60 ,50 ,63 
BEOM,RM,63,80 ,51 ,54 ,65 ,34 ,54 
YUN,LM,62,65 ,51 ,64 ,64 ,55 ,64 
DONG,CM,62,56 ,52 ,59 ,61 ,59 ,76 
WOO,CDM,60,57 ,50 ,58 ,50 ,51 ,72 
HYEOP,CDM,60,57 ,42 ,57 ,60 ,53 ,77 
PO,LB,68,80 ,52 ,58 ,65 ,66 ,78 
IL,CB,67,66 ,35 ,41 ,38 ,67 ,71 
BEOM,LB,67,89 ,50 ,60 ,68 ,59 ,74 
SEONG,RB,66,70 ,48 ,52 ,65 ,64 ,64 
WOON,LB,64,72 ,27 ,56 ,55 ,60 ,59 
JIN,CB,64,71 ,53 ,54 ,53 ,62 ,69 
SEOK,CB,62,43 ,24 ,29 ,32 ,62 ,74 
WON,LB,62,77 ,51 ,57 ,58 ,58 ,58 
JIN,CB,61,58 ,39 ,47 ,51 ,62 ,59 
WOO,LB,61,77 ,23 ,43 ,58 ,60 ,64 
GYU,CB,60,54 ,36 ,27 ,45 ,60 ,69 
NU,CB,59,58 ,50 ,52 ,50 ,58 ,64 
SUN,CB,59,55 ,26 ,26 ,32 ,62 ,59 
GEUN,GK,64,59 ,69 ,63 ,64 ,45 ,66 
JUN,GK,63,64 ,61 ,65 ,62 ,54 ,63 
MIN,GK,61,59 ,57 ,62 ,64 ,49 ,54 
HYUN,GK,60,54 ,63 ,61 ,59 ,41 ,61 
