JAIR,LW,70,74 ,70 ,65 ,72 ,42 ,67 
DONG,ST,68,60 ,69 ,52 ,63 ,30 ,67 
JAE,ST,67,81 ,63 ,46 ,67 ,20 ,67 
JOON,ST,66,67 ,64 ,57 ,63 ,28 ,60 
SEOK,ST,63,65 ,58 ,37 ,58 ,26 ,70 
MAURINHO,LW,61,75 ,60 ,48 ,69 ,18 ,63 
WOO,RM,69,76 ,60 ,64 ,68 ,35 ,59 
JUGOVIĆ,CAM,67,73 ,61 ,60 ,68 ,61 ,64 
HEE,CAM,66,72 ,60 ,62 ,64 ,47 ,59 
WOOK,CM,66,71 ,58 ,65 ,68 ,62 ,65 
YOUNG,CM,65,62 ,51 ,61 ,66 ,64 ,64 
TAE,LM,64,91 ,57 ,40 ,76 ,25 ,48 
A,CDM,64,71 ,57 ,60 ,61 ,62 ,69 
WON,CDM,58,59 ,55 ,52 ,59 ,54 ,58 
JUN,CM,57,54 ,51 ,61 ,57 ,38 ,44 
MRČELA,CB,69,51 ,32 ,44 ,45 ,68 ,79 
MIN,LB,68,69 ,56 ,62 ,65 ,66 ,73 
JIN,RB,68,77 ,58 ,63 ,69 ,64 ,70 
JONG,CB,66,80 ,45 ,40 ,45 ,65 ,77 
MIN,CB,66,72 ,27 ,38 ,42 ,66 ,75 
NAM,CB,65,64 ,37 ,56 ,42 ,64 ,68 
CHAN,LB,65,74 ,34 ,53 ,61 ,63 ,63 
GI,CB,64,75 ,26 ,38 ,49 ,63 ,64 
WON,CB,64,63 ,29 ,40 ,42 ,63 ,69 
MIN,LB,62,68 ,26 ,48 ,61 ,58 ,74 
SU,CB,61,72 ,24 ,46 ,58 ,59 ,64 
HAN,LB,61,77 ,27 ,50 ,64 ,57 ,57 
JAE,CB,58,67 ,25 ,27 ,42 ,60 ,62 
SEUNG,GK,62,62 ,63 ,62 ,63 ,33 ,56 
SIK,GK,59,59 ,55 ,63 ,59 ,34 ,60 
BIN,GK,57,54 ,59 ,56 ,59 ,33 ,56 
SUNG,GK,55,49 ,58 ,52 ,54 ,40 ,57 
