TAE,ST,66,80 ,63 ,59 ,70 ,27 ,71 
CHANG,ST,65,68 ,62 ,55 ,63 ,50 ,67 
OH,LW,65,81 ,59 ,56 ,65 ,42 ,67 
JOON,RW,64,87 ,59 ,60 ,64 ,27 ,59 
YOUP,RW,63,79 ,53 ,63 ,61 ,35 ,58 
HWAN,RM,69,90 ,53 ,61 ,74 ,60 ,69 
GI,CAM,69,72 ,64 ,68 ,68 ,56 ,64 
HO,CM,68,56 ,61 ,69 ,64 ,58 ,62 
JOON,CM,67,69 ,62 ,66 ,67 ,54 ,68 
REUM,CM,66,75 ,52 ,66 ,65 ,56 ,71 
WON,CDM,65,65 ,54 ,62 ,65 ,59 ,71 
NAM,RM,65,68 ,58 ,63 ,64 ,40 ,73 
HYUB,LM,65,70 ,67 ,60 ,69 ,37 ,55 
MIN,CAM,62,69 ,53 ,59 ,63 ,48 ,58 
CHEOL,LM,62,66 ,58 ,61 ,63 ,60 ,56 
HO,CDM,61,52 ,56 ,60 ,61 ,59 ,64 
CHUL,LB,71,85 ,47 ,67 ,68 ,64 ,75 
SUN,CB,70,79 ,32 ,50 ,49 ,68 ,82 
MIN,CB,67,78 ,26 ,34 ,38 ,66 ,75 
YONG,LB,66,78 ,59 ,58 ,64 ,61 ,67 
GYE,RB,66,81 ,54 ,64 ,62 ,63 ,71 
RYUL,CB,66,68 ,35 ,42 ,36 ,67 ,76 
GYU,CB,65,50 ,42 ,61 ,44 ,62 ,78 
MOUNG,LB,65,80 ,20 ,54 ,60 ,60 ,72 
HEE,CB,65,76 ,30 ,52 ,58 ,63 ,73 
YEON,CB,64,69 ,40 ,57 ,50 ,65 ,71 
HAE,CB,63,49 ,26 ,28 ,33 ,66 ,65 
HOAN,RB,63,81 ,50 ,62 ,63 ,55 ,69 
CHUN,CB,62,46 ,23 ,29 ,35 ,62 ,72 
KANG,RB,62,63 ,26 ,49 ,63 ,62 ,50 
SUN,CB,59,55 ,26 ,26 ,32 ,62 ,59 
HUN,GK,68,68 ,66 ,60 ,69 ,42 ,63 
HYEON,GK,59,58 ,56 ,55 ,57 ,48 ,64 
HOON,GK,59,64 ,55 ,56 ,59 ,43 ,57 
