JO,ST,73,77 ,71 ,58 ,67 ,39 ,72 
SILVINHO,LW,68,81 ,59 ,58 ,72 ,34 ,70 
HYUN,ST,61,63 ,58 ,51 ,61 ,29 ,61 
JAE,ST,60,37 ,62 ,44 ,54 ,22 ,67 
HYEON,ST,58,65 ,56 ,47 ,55 ,52 ,58 
HEON,CAM,72,53 ,72 ,75 ,70 ,64 ,61 
SUNG,CAM,71,70 ,68 ,71 ,69 ,43 ,64 
GARCIA,CAM,67,63 ,63 ,66 ,66 ,56 ,62 
HOON,LM,66,82 ,53 ,62 ,65 ,44 ,50 
WON,CDM,65,65 ,54 ,62 ,65 ,59 ,71 
JI,RM,65,73 ,57 ,60 ,65 ,20 ,55 
CHEOL,CM,64,66 ,62 ,64 ,63 ,55 ,65 
HEE,LM,62,78 ,55 ,57 ,64 ,38 ,42 
HYUN,CDM,62,62 ,42 ,64 ,63 ,54 ,64 
HO,CDM,61,52 ,56 ,60 ,61 ,59 ,64 
SHIN,CDM,58,38 ,39 ,51 ,57 ,55 ,68 
JIN,CAM,57,64 ,51 ,54 ,60 ,32 ,50 
PO,LB,68,80 ,52 ,58 ,65 ,66 ,78 
EUN,RB,68,76 ,65 ,67 ,68 ,63 ,67 
MIN,CB,67,78 ,26 ,34 ,38 ,66 ,75 
SEONG,RB,66,70 ,48 ,52 ,65 ,64 ,64 
YOUNG,LB,66,77 ,46 ,63 ,53 ,63 ,63 
YONG,CB,64,80 ,53 ,54 ,49 ,61 ,81 
JUNG,RB,64,72 ,42 ,55 ,56 ,62 ,69 
YOUN,CB,63,40 ,41 ,56 ,51 ,62 ,70 
MIN,LB,62,68 ,26 ,48 ,61 ,58 ,74 
HEE,RB,61,70 ,37 ,52 ,56 ,58 ,63 
WOON,CB,61,72 ,32 ,39 ,42 ,59 ,70 
YOON,CB,60,50 ,27 ,38 ,45 ,61 ,58 
WON,CB,60,47 ,40 ,50 ,53 ,58 ,67 
JOON,GK,70,66 ,68 ,70 ,69 ,43 ,72 
HYUK,GK,69,70 ,67 ,58 ,71 ,32 ,66 
BAE,GK,59,59 ,59 ,60 ,59 ,40 ,58 
