ALUSTIZA,ST,74,77 ,75 ,65 ,77 ,36 ,61 
DUQUE,ST,73,68 ,74 ,54 ,68 ,26 ,68 
BARRAGÁN,ST,68,75 ,68 ,62 ,69 ,35 ,63 
CABALLERO,ST,66,54 ,66 ,55 ,62 ,41 ,71 
BARRAZA,ST,66,76 ,62 ,53 ,66 ,35 ,63 
RIVERA,ST,65,71 ,64 ,55 ,65 ,30 ,62 
MARTÍNEZ,LM,74,82 ,61 ,70 ,77 ,35 ,68 
MÁRQUEZ,CDM,73,34 ,52 ,65 ,61 ,75 ,70 
RAMÍREZ,CM,72,67 ,70 ,71 ,71 ,66 ,69 
SALINAS,CM,70,75 ,68 ,66 ,71 ,65 ,74 
SANTOS,RM,70,75 ,64 ,65 ,74 ,34 ,64 
ROBLES,CDM,68,69 ,48 ,62 ,61 ,66 ,73 
ABOAGYE,CAM,68,79 ,55 ,66 ,72 ,36 ,44 
RAMÍREZ,LM,67,81 ,60 ,61 ,71 ,37 ,46 
ÁLVAREZ,LM,67,87 ,58 ,60 ,71 ,29 ,63 
TREVIÑO,CDM,64,69 ,45 ,61 ,59 ,61 ,64 
SALAS,CM,64,64 ,54 ,62 ,64 ,57 ,59 
JIMÉNEZ,CB,74,73 ,52 ,52 ,60 ,74 ,79 
SALINAS,RB,69,71 ,61 ,66 ,67 ,66 ,70 
VALENZUELA,CB,68,64 ,41 ,55 ,54 ,67 ,67 
MADUEÑA,RB,66,72 ,47 ,60 ,64 ,63 ,74 
ARREOLA,LB,66,73 ,62 ,62 ,65 ,63 ,65 
BARREIRO,CB,66,67 ,33 ,41 ,51 ,68 ,68 
USTARI,GK,72,77 ,68 ,79 ,73 ,56 ,65 
FRAGA,GK,67,72 ,61 ,60 ,69 ,55 ,64 
