BOSELLI,ST,76,65 ,74 ,64 ,69 ,33 ,75 
MORALEZ,CF,75,82 ,68 ,74 ,80 ,28 ,51 
CANO,ST,71,71 ,70 ,61 ,69 ,28 ,63 
MEJÍA,CDM,77,64 ,46 ,66 ,60 ,73 ,84 
HERNÁNDEZ,RM,74,77 ,75 ,80 ,80 ,54 ,63 
HERNÁNDEZ,RM,74,75 ,67 ,72 ,75 ,50 ,58 
PEÑA,CM,72,72 ,72 ,68 ,71 ,67 ,80 
ANDRADE,RM,72,79 ,67 ,67 ,75 ,33 ,61 
MONTES,CM,71,70 ,71 ,74 ,72 ,50 ,63 
BURBANO,LM,69,85 ,64 ,63 ,74 ,44 ,55 
VALDEZ,CM,67,69 ,61 ,65 ,63 ,63 ,70 
IBARRA,LM,67,78 ,62 ,61 ,72 ,31 ,62 
ROCHA,CM,67,68 ,55 ,64 ,68 ,59 ,63 
ISAZA,CAM,63,68 ,51 ,64 ,58 ,43 ,60 
LÓPEZ,CM,62,62 ,46 ,63 ,64 ,47 ,54 
BURDISSO,CB,74,50 ,41 ,49 ,49 ,74 ,80 
CORNEJO,LB,73,78 ,53 ,67 ,67 ,71 ,72 
NOVARETTI,CB,72,50 ,26 ,50 ,40 ,74 ,76 
VELARDE,LB,70,72 ,58 ,65 ,64 ,66 ,73 
NAVARRO,RB,69,82 ,53 ,61 ,68 ,63 ,61 
GONZÁLEZ,CB,69,52 ,38 ,49 ,48 ,68 ,78 
GUZMÁN,RB,68,75 ,46 ,57 ,67 ,66 ,70 
RODRÍGUEZ,LB,62,65 ,46 ,52 ,61 ,60 ,61 
TORRES,CB,61,56 ,41 ,49 ,54 ,61 ,63 
YARBROUGH,GK,69,69 ,64 ,70 ,70 ,50 ,70 
RODRÍGUEZ,GK,69,72 ,67 ,64 ,69 ,54 ,65 
MARTÍNEZ,GK,66,68 ,66 ,58 ,67 ,47 ,61 
RÍOS,GK,55,50 ,54 ,68 ,51 ,35 ,56 
