MATURANA,RW,71,81 ,60 ,66 ,76 ,44 ,51 
ESPÍNDOLA,ST,69,76 ,69 ,65 ,71 ,28 ,72 
DÍAZ,ST,64,75 ,62 ,56 ,64 ,28 ,51 
PUCH,RM,75,87 ,67 ,66 ,77 ,36 ,59 
ITURRA,CDM,74,66 ,48 ,65 ,68 ,71 ,71 
AGUIRRE,LM,68,94 ,60 ,61 ,71 ,48 ,60 
BÁEZ,CM,67,68 ,61 ,66 ,66 ,61 ,72 
SÁNCHEZ,CM,66,75 ,59 ,64 ,66 ,60 ,76 
VELA,LM,65,77 ,56 ,62 ,66 ,56 ,64 
RIOLFO,RM,63,74 ,61 ,59 ,64 ,24 ,50 
GONZÁLEZ,CB,71,32 ,36 ,44 ,48 ,71 ,70 
MEZA,CB,70,64 ,32 ,52 ,63 ,71 ,68 
MEZA,RB,68,72 ,50 ,58 ,64 ,65 ,71 
BECKELES,RB,67,66 ,52 ,62 ,60 ,64 ,80 
CHÁVEZ,CB,67,48 ,43 ,46 ,55 ,65 ,75 
GONZÁLEZ,LB,65,68 ,51 ,61 ,65 ,62 ,60 
DE LUNA,CB,65,52 ,30 ,45 ,48 ,62 ,71 
BAROVERO,GK,78,78 ,75 ,69 ,79 ,35 ,80 
GUTIÉRREZ,GK,63,62 ,65 ,66 ,59 ,44 ,62 
