MORENO,ST,77,73 ,79 ,69 ,74 ,32 ,65 
HAUCHE,ST,73,89 ,70 ,70 ,78 ,37 ,69 
MARTÍN,ST,69,76 ,67 ,64 ,73 ,28 ,54 
MORENO,ST,58,72 ,56 ,37 ,65 ,18 ,54 
HURTADO,LM,76,88 ,68 ,70 ,79 ,50 ,70 
VILLALBA,RM,74,94 ,70 ,64 ,78 ,33 ,57 
ORTIZ,CM,74,72 ,64 ,72 ,71 ,69 ,70 
JUNINHO,CM,72,72 ,67 ,73 ,71 ,62 ,65 
MEDINA,CM,71,68 ,66 ,71 ,67 ,68 ,71 
RODRÍGUEZ,CDM,69,60 ,47 ,61 ,60 ,67 ,76 
GUTIÉRREZ,CM,65,67 ,53 ,65 ,66 ,61 ,63 
ARRIOLA,RM,64,82 ,58 ,57 ,67 ,24 ,42 
GUIDO,CM,64,62 ,58 ,62 ,65 ,50 ,56 
CHÁVEZ,LM,59,68 ,56 ,53 ,62 ,32 ,49 
PÉREZ,LB,73,81 ,57 ,55 ,73 ,71 ,63 
SALINAS,RB,69,71 ,61 ,66 ,67 ,66 ,70 
CORONA,CB,69,70 ,55 ,59 ,60 ,68 ,77 
GARZA,LB,69,72 ,53 ,62 ,68 ,69 ,67 
NÚÑEZ,RB,68,58 ,52 ,64 ,67 ,68 ,61 
VALENZUELA,CB,68,64 ,41 ,55 ,54 ,67 ,67 
OROZCO,RB,67,70 ,48 ,56 ,58 ,69 ,69 
AGUILERA,CB,65,61 ,48 ,52 ,53 ,64 ,73 
REQUEJO,LB,59,61 ,35 ,43 ,58 ,61 ,61 
VILAR,GK,70,68 ,68 ,80 ,71 ,62 ,64 
LAJUD,GK,68,68 ,64 ,62 ,69 ,47 ,69 
