BENÍTEZ,ST,74,80 ,72 ,54 ,72 ,22 ,67 
CAUTERUCCIO,ST,74,72 ,74 ,63 ,71 ,43 ,72 
CRISTALDO,ST,72,77 ,72 ,60 ,73 ,29 ,61 
RODRÍGUEZ,RW,72,90 ,67 ,63 ,74 ,49 ,65 
GUERRÓN,RW,71,87 ,67 ,64 ,75 ,45 ,78 
TORRES,ST,71,72 ,69 ,62 ,69 ,35 ,72 
ROJAS,RW,70,92 ,58 ,63 ,75 ,28 ,68 
ZÚÑIGA,RW,60,77 ,53 ,52 ,63 ,23 ,41 
VÁZQUEZ,CAM,75,50 ,68 ,77 ,73 ,34 ,51 
PEÑALBA,CM,75,54 ,68 ,73 ,74 ,68 ,80 
SILVA,CM,74,57 ,61 ,73 ,63 ,69 ,77 
RAMÍREZ,CM,72,67 ,70 ,71 ,71 ,66 ,69 
ROJAS,CM,71,68 ,69 ,71 ,69 ,62 ,70 
GIMÉNEZ,CAM,70,55 ,70 ,71 ,70 ,42 ,63 
BACA,CDM,70,78 ,57 ,66 ,70 ,67 ,68 
LIZARAZO,CAM,67,83 ,61 ,64 ,70 ,35 ,51 
VELA,LM,65,77 ,56 ,62 ,66 ,56 ,64 
ROCO,CB,76,53 ,41 ,55 ,62 ,76 ,78 
DOMÍNGUEZ,CB,71,65 ,41 ,59 ,62 ,70 ,74 
ALDRETE,LB,70,76 ,52 ,63 ,68 ,66 ,73 
FLORES,RB,70,75 ,56 ,65 ,66 ,67 ,73 
RODRÍGUEZ,CB,70,48 ,46 ,50 ,47 ,70 ,72 
VELÁZQUEZ,CB,69,59 ,43 ,47 ,52 ,70 ,70 
RUÍZ,RB,68,77 ,58 ,66 ,69 ,63 ,72 
MENDOZA,RB,65,71 ,32 ,49 ,52 ,64 ,68 
CORONA,GK,76,75 ,80 ,72 ,73 ,47 ,76 
ALLISON,GK,65,64 ,66 ,65 ,64 ,38 ,65 
GUTIÉRREZ,GK,63,62 ,65 ,66 ,59 ,44 ,62 
