DERLEY,ST,73,66 ,72 ,64 ,71 ,34 ,78 
GUISAO,RW,71,81 ,71 ,64 ,73 ,41 ,66 
ARIZALA,ST,69,85 ,66 ,60 ,70 ,37 ,69 
OROZCO,ST,69,69 ,67 ,58 ,68 ,30 ,70 
ZÚÑIGA,ST,67,69 ,64 ,54 ,63 ,26 ,70 
MARÍN,ST,63,70 ,60 ,62 ,71 ,32 ,52 
FABBRO,CAM,73,65 ,73 ,73 ,73 ,34 ,70 
BERMÚDEZ,LM,72,82 ,67 ,67 ,79 ,27 ,42 
RÍOS,CDM,71,65 ,56 ,62 ,63 ,70 ,73 
VILLALPANDO,CAM,70,73 ,64 ,69 ,70 ,50 ,69 
MENDOZA,RM,69,78 ,61 ,63 ,72 ,44 ,69 
TORRE,CM,67,63 ,69 ,70 ,66 ,53 ,71 
ESCOBOZA,LM,67,74 ,66 ,63 ,70 ,33 ,65 
RUÍZ,CM,67,48 ,58 ,63 ,62 ,66 ,71 
ANGULO,LB,72,82 ,55 ,62 ,70 ,68 ,76 
VALENCIA,RB,70,86 ,47 ,63 ,65 ,65 ,66 
PIRES,CB,70,67 ,47 ,52 ,56 ,68 ,76 
MOSQUERA,CB,68,51 ,45 ,51 ,52 ,66 ,72 
PAREDES,LB,68,72 ,55 ,66 ,68 ,64 ,66 
VENEGAS,CB,67,51 ,45 ,54 ,54 ,64 ,79 
ZAMORA,CB,66,69 ,44 ,52 ,59 ,65 ,65 
ARAUJO,CB,66,37 ,31 ,51 ,39 ,65 ,75 
PATIÑO,CB,65,54 ,24 ,46 ,37 ,68 ,68 
MUÑOZ,GK,74,73 ,72 ,66 ,75 ,32 ,74 
JIMÉNEZ,GK,71,74 ,68 ,68 ,72 ,33 ,71 
VIANA,GK,69,70 ,71 ,70 ,69 ,30 ,67 
CRIVELLI,GK,67,68 ,65 ,70 ,57 ,48 ,70 
SÁNCHEZ,GK,64,67 ,58 ,53 ,66 ,34 ,66 
