ALUSTIZA,ST,74,77 ,75 ,65 ,77 ,36 ,61 
NAVARRO,ST,71,53 ,78 ,44 ,60 ,26 ,73 
ARIZALA,ST,69,85 ,66 ,60 ,70 ,37 ,69 
AMIONE,ST,68,75 ,67 ,58 ,69 ,23 ,75 
GONZÁLEZ,ST,68,72 ,64 ,62 ,70 ,31 ,68 
CANELO,ST,66,78 ,65 ,62 ,66 ,26 ,63 
NAVARRO,ST,65,51 ,69 ,38 ,55 ,22 ,69 
PÉREZ,ST,65,67 ,61 ,54 ,60 ,32 ,66 
BERMÚDEZ,LM,72,82 ,67 ,67 ,79 ,27 ,42 
ESCUDERO,CAM,71,69 ,65 ,72 ,71 ,44 ,61 
RODRIGUEZ,CAM,68,72 ,60 ,67 ,69 ,46 ,58 
TOLEDO,CM,68,67 ,57 ,66 ,69 ,62 ,63 
TORRES,CM,67,68 ,61 ,66 ,67 ,62 ,68 
CEJAS,CAM,67,67 ,68 ,66 ,68 ,38 ,71 
ORRANTÍA,RM,66,80 ,59 ,58 ,72 ,35 ,63 
ESPARZA,LM,66,84 ,55 ,62 ,70 ,47 ,51 
CEBALLOS,CDM,65,51 ,42 ,55 ,59 ,65 ,70 
JURAIDINI,RM,62,79 ,56 ,56 ,65 ,38 ,48 
GONZÁLEZ,CM,60,60 ,56 ,58 ,56 ,60 ,68 
HERRERA,CB,69,41 ,39 ,49 ,48 ,67 ,79 
PÉREZ,CB,68,34 ,38 ,40 ,34 ,68 ,82 
ARAUJO,CB,68,67 ,56 ,58 ,57 ,66 ,73 
ROJAS,RB,67,69 ,47 ,64 ,65 ,64 ,65 
DUEÑAS,CB,66,38 ,42 ,42 ,48 ,65 ,71 
CÁCERES,LB,65,68 ,46 ,56 ,54 ,64 ,69 
GUTIÉRREZ,LB,65,76 ,53 ,61 ,68 ,60 ,60 
PÉREZ,RB,64,73 ,50 ,59 ,64 ,58 ,63 
CORTÉS,LB,64,67 ,52 ,61 ,62 ,61 ,68 
CAMPESTRINI,GK,74,76 ,72 ,66 ,75 ,24 ,72 
VILLASEÑOR,GK,66,65 ,68 ,65 ,67 ,40 ,66 
IBARRA,GK,65,66 ,62 ,60 ,64 ,48 ,64 
