FURCH,ST,74,62 ,76 ,60 ,66 ,34 ,77 
HERRERA,ST,72,57 ,71 ,62 ,62 ,37 ,79 
BRAVO,ST,69,75 ,68 ,66 ,71 ,33 ,68 
OROZCO,ST,69,69 ,67 ,58 ,68 ,30 ,70 
VULETICH,ST,66,55 ,65 ,54 ,62 ,30 ,73 
PEÑALBA,CM,75,54 ,68 ,73 ,74 ,68 ,80 
ALBÍN,CAM,73,69 ,70 ,70 ,74 ,39 ,70 
VILLALVA,LM,73,89 ,70 ,66 ,79 ,31 ,45 
HINESTROZA,LM,73,89 ,62 ,66 ,75 ,41 ,64 
ERBES,CDM,72,77 ,54 ,65 ,69 ,72 ,71 
PÉREZ,LM,71,81 ,66 ,64 ,72 ,40 ,65 
RÍOS,CDM,71,65 ,56 ,62 ,63 ,70 ,73 
MENESES,RM,70,78 ,64 ,66 ,74 ,50 ,69 
ANDRADE,CM,68,73 ,64 ,70 ,71 ,50 ,67 
LUNA,LM,67,78 ,60 ,64 ,73 ,32 ,42 
CID,CDM,67,65 ,56 ,60 ,63 ,66 ,72 
LEUDO,CDM,67,47 ,42 ,53 ,56 ,67 ,81 
MARTÍNEZ,CM,66,63 ,49 ,63 ,66 ,62 ,71 
ZAMORA,CM,66,65 ,62 ,64 ,67 ,64 ,74 
VELÁZQUEZ,CAM,65,78 ,54 ,62 ,69 ,36 ,44 
RIVERA,RM,64,81 ,54 ,64 ,69 ,29 ,46 
SAUCEDO,CAM,61,67 ,44 ,60 ,64 ,33 ,38 
CAHAIS,CB,72,52 ,45 ,52 ,53 ,74 ,74 
LÓPEZ,CB,70,50 ,48 ,58 ,58 ,70 ,68 
PAGANONI,RB,69,78 ,56 ,61 ,69 ,64 ,64 
HERRERA,CB,68,63 ,36 ,46 ,50 ,68 ,67 
NOYA,CB,67,52 ,35 ,43 ,42 ,65 ,78 
CERVANTES,CB,67,32 ,40 ,52 ,42 ,66 ,70 
SÁNCHEZ,LB,65,73 ,56 ,62 ,66 ,58 ,73 
ÁLVAREZ,CB,65,45 ,45 ,52 ,46 ,64 ,69 
GALLESE,GK,74,77 ,69 ,68 ,72 ,45 ,72 
HERNÁNDEZ,GK,67,69 ,65 ,68 ,68 ,22 ,67 
