BRITOS,ST,76,84 ,72 ,69 ,74 ,53 ,68 
CASTILLO,ST,75,65 ,76 ,58 ,69 ,34 ,76 
BRITOS,ST,73,84 ,69 ,69 ,74 ,53 ,67 
HERRERA,ST,73,57 ,71 ,62 ,62 ,37 ,84 
HERRERA,ST,72,57 ,71 ,62 ,62 ,37 ,79 
PALACIOS,ST,63,63 ,64 ,59 ,63 ,33 ,51 
ISLAS,RW,63,78 ,60 ,57 ,64 ,28 ,53 
BERJÓN,LM,76,78 ,73 ,74 ,77 ,35 ,71 
ABRAHAM,CM,75,60 ,64 ,79 ,64 ,66 ,65 
MARTÍNEZ,LM,74,82 ,61 ,70 ,77 ,35 ,68 
RABELLO,CAM,72,77 ,65 ,71 ,75 ,33 ,50 
CORTÉS,CM,71,75 ,69 ,70 ,72 ,59 ,71 
CASTRO,CDM,69,57 ,50 ,65 ,61 ,68 ,71 
BARRERA,RM,69,80 ,64 ,64 ,72 ,43 ,68 
GALLARDO,LM,67,77 ,60 ,62 ,67 ,54 ,50 
ALCOBA,CB,76,68 ,38 ,47 ,57 ,78 ,78 
VERÓN,CB,74,52 ,53 ,56 ,60 ,74 ,73 
FUENTES,LB,73,74 ,59 ,68 ,70 ,72 ,73 
VAN RANKIN,RB,68,76 ,38 ,62 ,66 ,65 ,64 
QUINTANA,CB,65,60 ,42 ,43 ,58 ,63 ,71 
PALACIOS,GK,75,79 ,73 ,68 ,77 ,55 ,72 
SALDÍVAR,GK,67,67 ,66 ,64 ,69 ,55 ,64 
