RODRÍGUEZ,ST,75,80 ,76 ,57 ,72 ,25 ,69 
PLANO,RW,72,82 ,74 ,67 ,71 ,30 ,59 
ÁLVARO,ST,67,77 ,62 ,56 ,72 ,23 ,60 
FERNÁNDEZ,ST,67,73 ,66 ,51 ,63 ,27 ,62 
KADIR,RM,73,69 ,68 ,74 ,73 ,38 ,62 
PÉREZ,CAM,70,56 ,66 ,66 ,66 ,49 ,62 
LUQUE,LM,69,91 ,58 ,60 ,75 ,30 ,43 
PÉREZ,CM,69,61 ,61 ,74 ,66 ,54 ,52 
OCHIROŞII,LM,68,76 ,61 ,65 ,67 ,59 ,73 
TORIBIO,CDM,68,62 ,46 ,62 ,52 ,63 ,80 
REY,RM,68,79 ,53 ,62 ,71 ,41 ,64 
MANUEL,CDM,68,55 ,43 ,56 ,52 ,64 ,79 
AGUZA,CAM,67,60 ,63 ,69 ,65 ,53 ,62 
SAMU,LM,65,72 ,62 ,65 ,66 ,47 ,56 
ALEJO,RM,62,80 ,53 ,53 ,68 ,27 ,54 
NAVARRO,CB,73,35 ,40 ,50 ,49 ,74 ,77 
NÉLSON,RB,71,87 ,52 ,59 ,67 ,66 ,70 
BELLVIS,LB,70,80 ,43 ,60 ,69 ,64 ,69 
GONZÁLEZ,CB,70,59 ,21 ,50 ,53 ,67 ,78 
VEGA,RB,69,76 ,37 ,57 ,63 ,65 ,74 
PÁEZ,CB,67,48 ,17 ,38 ,40 ,69 ,71 
DMITROVIĆ,GK,72,65 ,77 ,65 ,68 ,39 ,79 
JIMÉNEZ,GK,65,71 ,62 ,55 ,64 ,42 ,64 
