CABALLERO,ST,71,59 ,69 ,52 ,61 ,31 ,70 
PEREA,ST,70,78 ,65 ,62 ,70 ,27 ,64 
IRIOME,RW,66,83 ,63 ,57 ,69 ,41 ,65 
JOSELU,ST,65,78 ,65 ,48 ,59 ,33 ,74 
SEOANE,CDM,72,59 ,48 ,63 ,59 ,69 ,78 
PEDRAZA,LM,70,71 ,65 ,64 ,73 ,46 ,58 
PITA,CM,70,37 ,66 ,73 ,64 ,55 ,66 
CARMONA,LM,68,76 ,60 ,67 ,72 ,30 ,49 
CAMPILLO,CAM,68,64 ,71 ,67 ,67 ,48 ,63 
GIL,CM,67,61 ,48 ,66 ,67 ,56 ,59 
PINO,CAM,67,63 ,56 ,66 ,72 ,45 ,42 
MARTÍNEZ,RM,67,73 ,63 ,63 ,71 ,52 ,58 
DAMIÀ,CDM,66,63 ,53 ,63 ,65 ,58 ,63 
HERNÁNDEZ,CB,72,66 ,39 ,50 ,56 ,71 ,75 
DEALBERT,CB,71,46 ,43 ,49 ,48 ,72 ,76 
CALAVERA,RB,70,83 ,54 ,62 ,72 ,62 ,68 
MIQUEL,CB,69,66 ,28 ,53 ,58 ,69 ,72 
MANU,LB,67,61 ,54 ,65 ,61 ,67 ,66 
MARCELO,CB,65,47 ,30 ,29 ,42 ,64 ,76 
JUAN,GK,67,78 ,62 ,68 ,66 ,46 ,58 
ROBERTO,GK,65,67 ,64 ,64 ,58 ,55 ,69 
