VERA,ST,68,40 ,68 ,44 ,54 ,34 ,78 
BUSTOS,LW,67,67 ,60 ,66 ,72 ,52 ,44 
ABDÓN,ST,66,69 ,70 ,54 ,63 ,24 ,57 
MARTÍN,ST,65,76 ,62 ,56 ,67 ,36 ,68 
HERVÁS,CM,70,69 ,51 ,73 ,66 ,59 ,68 
RÚPER,CDM,70,52 ,59 ,71 ,61 ,61 ,74 
GARCÍA,LM,70,76 ,66 ,67 ,65 ,44 ,69 
PROVENCIO,CM,69,62 ,57 ,68 ,69 ,53 ,68 
SALINAS,CAM,68,54 ,61 ,69 ,66 ,43 ,61 
GUARROTXENA,LM,68,77 ,62 ,67 ,71 ,56 ,71 
SANGALLI,RM,68,79 ,62 ,57 ,75 ,42 ,53 
FOFO,CAM,67,70 ,65 ,64 ,66 ,25 ,61 
MESA,CM,67,61 ,62 ,63 ,65 ,50 ,66 
LÁZARO,CM,66,58 ,54 ,69 ,67 ,52 ,55 
OYARZUN,LM,65,76 ,62 ,62 ,71 ,39 ,52 
OLMO,CM,58,58 ,49 ,56 ,58 ,48 ,60 
KIJERA,CB,70,69 ,46 ,70 ,56 ,69 ,75 
ORTIZ,CB,70,56 ,46 ,49 ,45 ,70 ,71 
CRUZ,CB,69,54 ,33 ,45 ,49 ,68 ,72 
QUINTANILLA,CB,69,60 ,25 ,64 ,59 ,67 ,71 
AURTENETXE,LB,68,68 ,49 ,63 ,60 ,69 ,71 
EGUARAS,RWB,68,55 ,59 ,74 ,66 ,63 ,66 
CENDRÓS,RB,67,72 ,36 ,55 ,60 ,64 ,72 
CARLOS,RB,66,65 ,33 ,52 ,44 ,62 ,77 
RUYMÁN,CB,66,68 ,46 ,56 ,54 ,66 ,68 
ROBERTO,GK,65,64 ,62 ,65 ,68 ,56 ,61 
PÉREZ,GK,61,64 ,58 ,54 ,63 ,54 ,57 
