CHRISANTUS,ST,67,76 ,66 ,46 ,62 ,18 ,66 
HERNÁNDEZ,ST,67,59 ,70 ,55 ,61 ,30 ,63 
MÁYOR,ST,66,52 ,61 ,57 ,51 ,37 ,80 
VAZ,RW,64,76 ,60 ,57 ,68 ,27 ,40 
QUEROL,RM,71,90 ,66 ,62 ,68 ,49 ,71 
GUZZO,CM,70,65 ,61 ,67 ,71 ,50 ,63 
GARAI,CDM,69,36 ,53 ,67 ,56 ,65 ,70 
MIRAMÓN,RM,67,62 ,58 ,70 ,65 ,36 ,58 
DÍAZ,LM,67,81 ,68 ,61 ,74 ,29 ,57 
GARCÍA,CDM,67,33 ,45 ,59 ,46 ,66 ,77 
CARBIÀ,LM,66,76 ,58 ,60 ,66 ,29 ,53 
MELLI,CB,70,55 ,37 ,57 ,50 ,70 ,69 
OLMO,CB,68,67 ,48 ,54 ,50 ,64 ,75 
CAMPINS,RB,66,80 ,39 ,58 ,58 ,61 ,58 
GARCIA,LB,64,75 ,58 ,61 ,68 ,56 ,61 
CODINA,GK,70,75 ,68 ,74 ,67 ,43 ,66 
BADÍA,GK,67,71 ,65 ,62 ,60 ,60 ,71 
SILLERO,GK,60,62 ,56 ,58 ,65 ,49 ,56 
