RODRI,ST,68,80 ,67 ,54 ,69 ,21 ,69 
PIOVACCARI,ST,68,57 ,66 ,50 ,63 ,35 ,68 
MOHA,ST,62,80 ,62 ,39 ,63 ,22 ,74 
JULI,CAM,73,73 ,66 ,77 ,72 ,32 ,60 
LUSO,CDM,72,66 ,54 ,64 ,61 ,70 ,76 
RÍOS,RM,71,58 ,68 ,73 ,72 ,39 ,56 
MARKOVIĆ,CDM,69,56 ,65 ,67 ,67 ,62 ,75 
CABALLERO,CAM,68,52 ,63 ,75 ,63 ,50 ,57 
ALFARO,RM,68,58 ,66 ,70 ,71 ,34 ,53 
AGUZA,CM,67,60 ,63 ,69 ,65 ,53 ,62 
RAMOS,CDM,66,66 ,51 ,68 ,61 ,51 ,65 
DEIVID,CB,74,65 ,39 ,62 ,72 ,74 ,75 
RODAS,CB,71,52 ,42 ,48 ,46 ,70 ,82 
CISMA,LB,69,64 ,54 ,69 ,63 ,67 ,73 
REYES,LB,67,76 ,42 ,50 ,63 ,64 ,73 
ANTOÑITO,RB,67,84 ,50 ,59 ,60 ,60 ,72 
CARO,RB,67,67 ,43 ,56 ,54 ,69 ,71 
SERRANO,CB,62,54 ,33 ,36 ,40 ,60 ,70 
KIESZEK,GK,72,73 ,67 ,71 ,74 ,50 ,66 
BRIMAH,GK,67,72 ,59 ,64 ,73 ,48 ,61 
