GUILLERMO,ST,70,77 ,64 ,62 ,74 ,28 ,61 
NINO,ST,69,59 ,71 ,60 ,65 ,41 ,59 
MALONGA,ST,66,66 ,65 ,55 ,62 ,36 ,64 
FERNÁNDEZ,CM,73,49 ,59 ,76 ,69 ,54 ,63 
VALLE,LM,72,77 ,67 ,64 ,74 ,38 ,57 
FABIÁN,CAM,71,54 ,65 ,71 ,69 ,56 ,44 
MANDI,CDM,71,64 ,54 ,57 ,56 ,68 ,76 
DORCA,CDM,70,47 ,60 ,66 ,63 ,64 ,76 
HERVÍAS,RM,70,80 ,59 ,64 ,76 ,34 ,43 
MATILLA,CM,69,59 ,61 ,76 ,70 ,56 ,55 
SÁNCHEZ,LM,69,80 ,68 ,64 ,72 ,29 ,63 
PELAYO,CM,67,66 ,56 ,66 ,62 ,64 ,67 
HADŽIĆ,LM,67,78 ,61 ,61 ,71 ,24 ,56 
BELTRÁN,LM,67,80 ,62 ,62 ,70 ,31 ,48 
FRAILE,RM,66,78 ,61 ,62 ,65 ,57 ,66 
PELEGRÍN,CB,74,45 ,32 ,52 ,49 ,75 ,76 
LOLO,CB,69,52 ,56 ,62 ,58 ,67 ,72 
CORREA,RB,69,73 ,43 ,58 ,53 ,69 ,72 
ARMANDO,CB,68,40 ,42 ,47 ,40 ,66 ,76 
ALBACAR,LB,68,64 ,65 ,73 ,64 ,66 ,71 
ÁNGEL,CB,68,62 ,29 ,59 ,51 ,68 ,67 
NOBLEJAS,LB,67,66 ,36 ,58 ,57 ,66 ,73 
IRIONDO,LB,67,82 ,53 ,58 ,67 ,62 ,66 
CARLOS,GK,70,74 ,64 ,65 ,74 ,58 ,67 
PARREÑO,GK,64,60 ,64 ,56 ,68 ,60 ,61 
POL,GK,62,59 ,71 ,61 ,57 ,44 ,55 
GÓMEZ,GK,61,70 ,55 ,51 ,65 ,43 ,52 
