SANDAZA,ST,72,60 ,71 ,62 ,68 ,43 ,72 
HERRERA,ST,70,67 ,71 ,57 ,68 ,36 ,68 
LONGO,ST,69,74 ,68 ,53 ,70 ,23 ,67 
CÁMARA,LW,68,74 ,64 ,68 ,69 ,48 ,47 
SANCHÓN,ST,66,75 ,64 ,58 ,74 ,24 ,36 
SERRANO,RW,58,71 ,49 ,51 ,65 ,29 ,51 
PORTU,CAM,73,75 ,64 ,69 ,72 ,57 ,74 
MOJICA,LM,72,92 ,61 ,68 ,71 ,63 ,79 
PONS,CM,71,63 ,55 ,68 ,66 ,65 ,73 
GARCÍA,CAM,71,82 ,64 ,64 ,74 ,26 ,57 
GRANELL,CM,70,67 ,70 ,73 ,69 ,55 ,64 
ALCARAZ,CM,68,59 ,64 ,68 ,58 ,63 ,70 
AMAGAT,CM,67,52 ,61 ,66 ,69 ,55 ,68 
OLIVAS,CB,75,47 ,52 ,53 ,56 ,75 ,85 
CIFUENTES,RB,73,86 ,51 ,60 ,71 ,66 ,75 
JUANPE,CB,72,63 ,25 ,51 ,46 ,72 ,80 
ALCALÁ,CB,71,48 ,46 ,58 ,46 ,70 ,82 
SAÚL,LB,71,70 ,45 ,65 ,61 ,68 ,67 
RICHY,CB,70,53 ,49 ,53 ,46 ,70 ,70 
RAMALHO,CB,69,74 ,33 ,54 ,50 ,69 ,70 
MARÍ,CB,68,57 ,40 ,46 ,48 ,67 ,72 
BENÍTEZ,RWB,67,76 ,50 ,59 ,74 ,60 ,57 
MAS,CB,66,67 ,33 ,54 ,44 ,64 ,64 
ANGELIÑO,LB,65,79 ,53 ,65 ,67 ,60 ,44 
CORIS,LWB,64,71 ,51 ,58 ,64 ,60 ,57 
BOUNOU,GK,70,67 ,77 ,67 ,62 ,37 ,70 
RENÉ,GK,68,79 ,67 ,65 ,59 ,51 ,64 
