LEKIĆ,ST,69,34 ,70 ,52 ,55 ,33 ,71 
DÍAZ,ST,67,66 ,65 ,57 ,71 ,36 ,67 
RODRIGUEZ,CDM,75,40 ,65 ,73 ,69 ,69 ,79 
DOMINGUEZ,CM,73,60 ,55 ,71 ,73 ,63 ,63 
CULIO,CM,72,61 ,66 ,72 ,73 ,54 ,70 
ZDJELAR,CDM,71,69 ,55 ,62 ,67 ,67 ,71 
SALOMÃO,LM,70,77 ,66 ,64 ,78 ,43 ,50 
MOUTINHO,LM,69,82 ,62 ,65 ,72 ,43 ,59 
WAKALIBLE,RM,69,85 ,64 ,57 ,71 ,22 ,71 
YUSTE,CDM,68,32 ,48 ,63 ,49 ,63 ,84 
DAMIÀ,CDM,66,63 ,53 ,63 ,65 ,58 ,63 
SERRANO,CAM,65,59 ,57 ,66 ,65 ,46 ,62 
VALLEJO,CDM,61,43 ,33 ,52 ,53 ,63 ,68 
ANSOTEGI,CB,74,32 ,33 ,52 ,41 ,76 ,78 
ORIOL,LB,72,76 ,55 ,66 ,66 ,68 ,72 
SAÚL,LB,71,70 ,45 ,65 ,61 ,68 ,67 
RAILLO,CB,71,61 ,36 ,52 ,58 ,70 ,70 
CAMPABADAL,RB,68,72 ,19 ,53 ,59 ,67 ,68 
COMPANY,RB,66,78 ,43 ,59 ,58 ,63 ,68 
PLEGUEZUELO,CB,66,67 ,35 ,57 ,67 ,66 ,58 
ANGELIÑO,LB,65,79 ,53 ,65 ,67 ,60 ,44 
SANTAMARÍA,GK,67,67 ,75 ,58 ,59 ,48 ,66 
CABRERO,GK,63,60 ,72 ,57 ,57 ,52 ,64 
