TOCHÉ,ST,74,58 ,76 ,59 ,66 ,36 ,70 
PEREIRA,ST,73,88 ,70 ,57 ,81 ,23 ,52 
LINARES,ST,69,63 ,70 ,49 ,64 ,35 ,60 
BERJÓN,LM,76,78 ,73 ,74 ,77 ,35 ,71 
MICHU,CAM,73,52 ,74 ,68 ,66 ,34 ,68 
SUSAETA,RM,72,68 ,71 ,76 ,70 ,44 ,63 
VILA,CDM,70,61 ,47 ,62 ,54 ,71 ,70 
ROCHA,CM,69,56 ,62 ,70 ,60 ,60 ,67 
ERICE,CDM,69,59 ,52 ,67 ,57 ,62 ,71 
TORRÓ,CDM,68,58 ,51 ,65 ,61 ,62 ,64 
NANDO,RM,68,77 ,61 ,62 ,73 ,27 ,56 
BEDIA,CM,67,55 ,55 ,72 ,65 ,50 ,57 
ALANIZ,LM,66,74 ,68 ,65 ,67 ,42 ,59 
DE PENA,LM,62,72 ,48 ,55 ,67 ,25 ,48 
GIL,CB,72,58 ,43 ,62 ,57 ,71 ,75 
FERNÁNDEZ,CB,72,62 ,45 ,58 ,52 ,75 ,70 
VARELA,LB,71,84 ,43 ,63 ,63 ,67 ,64 
COSTAS,CB,70,65 ,36 ,59 ,60 ,73 ,60 
FERNÁNDEZ,LB,69,65 ,57 ,63 ,64 ,65 ,77 
PEÑA,LB,69,69 ,34 ,60 ,60 ,69 ,72 
VERDÉS,CB,68,43 ,30 ,45 ,41 ,65 ,81 
FERNÁNDEZ,RB,68,88 ,40 ,54 ,64 ,61 ,63 
ESTEBAN,GK,70,60 ,78 ,71 ,62 ,40 ,80 
CARLOS,GK,69,81 ,60 ,70 ,71 ,52 ,61 
