JOVETIĆ,ST,84,80 ,85 ,82 ,87 ,37 ,73 
JOVETIĆ,ST,84,80 ,85 ,82 ,87 ,37 ,73 
BEN YEDDER,ST,84,85 ,88 ,82 ,88 ,37 ,70 
VIETTO,ST,83,78 ,84 ,78 ,88 ,41 ,68 
BEN YEDDER,ST,81,83 ,79 ,77 ,85 ,34 ,65 
JOVETIĆ,ST,81,78 ,82 ,75 ,84 ,33 ,68 
BEN YEDDER,ST,80,83 ,78 ,76 ,84 ,34 ,63 
VIETTO,ST,79,76 ,78 ,72 ,85 ,36 ,63 
IBORRA,CM,86,58 ,88 ,83 ,80 ,88 ,89 
N'ZONZI,CDM,86,62 ,75 ,83 ,80 ,87 ,91 
VITOLO,LM,85,84 ,81 ,84 ,86 ,30 ,76 
N'ZONZI,CDM,85,61 ,73 ,79 ,77 ,85 ,89 
GANSO,CAM,84,37 ,82 ,89 ,87 ,48 ,68 
IBORRA,CDM,84,56 ,82 ,78 ,75 ,86 ,86 
VÁZQUEZ,CM,84,67 ,80 ,85 ,87 ,48 ,82 
N'ZONZI,CDM,83,59 ,67 ,73 ,71 ,80 ,87 
VITOLO,RM,83,82 ,77 ,79 ,83 ,28 ,73 
IBORRA,CDM,82,54 ,73 ,73 ,69 ,83 ,83 
VÁZQUEZ,CAM,82,65 ,77 ,79 ,84 ,43 ,76 
NASRI,LM,82,78 ,76 ,81 ,84 ,38 ,57 
VITOLO,RM,82,78 ,75 ,79 ,83 ,28 ,71 
N'ZONZI,CDM,82,58 ,64 ,71 ,69 ,79 ,87 
GANSO,CAM,81,35 ,76 ,85 ,83 ,45 ,64 
KROHN-DEHLI,LM,81,67 ,74 ,84 ,80 ,64 ,67 
KIYOTAKE,CAM,79,69 ,72 ,82 ,79 ,27 ,48 
SARABIA,RM,79,78 ,72 ,80 ,83 ,30 ,54 
SARABIA,LM,78,77 ,69 ,77 ,83 ,30 ,54 
KRANEVITTER,CDM,77,66 ,46 ,66 ,69 ,76 ,75 
CORREA,CAM,74,74 ,68 ,73 ,75 ,33 ,61 
MONTOYA,RM,70,83 ,60 ,65 ,73 ,40 ,60 
ESCUDERO,LB,83,80 ,65 ,80 ,77 ,81 ,78 
RAMI,CB,82,59 ,54 ,48 ,58 ,82 ,81 
TRÉMOULINAS,LB,81,82 ,64 ,78 ,78 ,77 ,71 
MERCADO,RB,81,80 ,60 ,70 ,65 ,82 ,86 
CARRIÇO,CB,81,59 ,53 ,68 ,63 ,81 ,79 
KOLODZIEJCZAK,CB,80,71 ,34 ,64 ,65 ,79 ,84 
MARIANO,RB,79,84 ,64 ,74 ,75 ,73 ,74 
ESCUDERO,LB,79,77 ,56 ,72 ,71 ,76 ,74 
PAREJA,CB,79,46 ,60 ,72 ,65 ,79 ,72 
PAREJA,CB,77,46 ,60 ,70 ,60 ,77 ,71 
ESCUDERO,LB,77,76 ,56 ,70 ,71 ,76 ,73 
MERCADO,RB,76,78 ,54 ,62 ,58 ,77 ,82 
LENGLET,CB,75,71 ,33 ,52 ,54 ,75 ,71 
SIRIGU,GK,82,83 ,79 ,75 ,83 ,50 ,80 
RICO,GK,80,80 ,80 ,77 ,82 ,50 ,80 
SORIA,GK,73,76 ,67 ,58 ,71 ,49 ,78 
