NANI,LM,87,90 ,84 ,85 ,90 ,30 ,70 
NANI,LW,83,82 ,79 ,81 ,86 ,24 ,64 
ORELLANA,RW,81,83 ,73 ,76 ,84 ,32 ,52 
ZAZA,ST,80,80 ,80 ,59 ,77 ,38 ,77 
RODRIGO,RW,78,84 ,76 ,70 ,79 ,32 ,62 
MINA,RW,76,75 ,72 ,65 ,79 ,35 ,60 
MUNIR,ST,75,82 ,73 ,62 ,79 ,27 ,57 
BAKKALI,RW,74,87 ,68 ,66 ,82 ,17 ,41 
MUNIR,ST,74,82 ,72 ,59 ,79 ,24 ,49 
PAREJO,CM,82,54 ,77 ,87 ,78 ,59 ,73 
SUÁREZ,CM,82,65 ,70 ,80 ,77 ,75 ,78 
SUÁREZ,CM,79,62 ,66 ,76 ,74 ,72 ,76 
PÉREZ,CM,78,70 ,70 ,75 ,74 ,74 ,79 
CARTABIA,RM,77,79 ,73 ,73 ,83 ,33 ,52 
MEDRÁN,CM,77,59 ,65 ,77 ,73 ,65 ,60 
SOLER,CM,74,75 ,68 ,75 ,69 ,64 ,59 
VILLALBA,CAM,70,60 ,57 ,70 ,76 ,32 ,34 
SOLER,CM,67,58 ,54 ,71 ,64 ,51 ,55 
GARAY,CB,84,52 ,57 ,68 ,64 ,87 ,81 
ABDENNOUR,CB,83,65 ,62 ,65 ,65 ,84 ,86 
MONTOYA,RB,83,88 ,60 ,80 ,80 ,80 ,81 
GAYÀ,LB,80,88 ,58 ,77 ,77 ,75 ,68 
MANGALA,CB,80,73 ,41 ,56 ,61 ,78 ,84 
ABDENNOUR,CB,80,61 ,57 ,60 ,58 ,80 ,83 
MONTOYA,RB,79,86 ,50 ,72 ,75 ,75 ,75 
CANCELO,RB,79,89 ,63 ,74 ,80 ,75 ,68 
ABDENNOUR,CB,78,61 ,56 ,60 ,56 ,78 ,81 
SIQUEIRA,LB,78,77 ,66 ,75 ,80 ,74 ,76 
MONTOYA,RB,77,83 ,50 ,69 ,70 ,75 ,73 
SANTOS,CB,77,52 ,51 ,44 ,52 ,80 ,79 
SIQUEIRA,LB,76,72 ,62 ,71 ,74 ,73 ,73 
LATO,LB,67,65 ,30 ,47 ,59 ,67 ,57 
RUÍZ,LB,66,64 ,30 ,61 ,64 ,67 ,61 
ALVES,GK,86,91 ,87 ,85 ,90 ,67 ,86 
ALVES,GK,85,90 ,82 ,81 ,89 ,62 ,82 
ALVES,GK,83,88 ,76 ,76 ,87 ,55 ,77 
RYAN,GK,80,82 ,73 ,82 ,85 ,62 ,78 
RYAN,GK,79,82 ,73 ,82 ,80 ,62 ,78 
JAUME,GK,75,74 ,73 ,70 ,79 ,62 ,72 
JAUME,GK,74,73 ,73 ,69 ,79 ,43 ,69 
